"GEO_ID","NAME","B08303_001E","B08303_001EA","B08303_001M","B08303_001MA","B08303_002E","B08303_002EA","B08303_002M","B08303_002MA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006M","B08303_006MA","B08303_006EA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011M","B08303_011MA","B08303_011EA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2069","null","364","null","0","null","89","null","204","null","106","null","154","null","105","null","85","null","71","null","122","78","null","null","47","null","52","null","356","null","147","null","133","null","93","null","78","65","null","null","403","132","null","null","235","null","106","null","252","null","141","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3286","null","442","null","0","null","89","null","113","null","126","null","305","null","134","null","362","null","165","null","328","135","null","null","11","null","17","null","779","null","232","null","19","null","29","null","194","118","null","null","618","194","null","null","475","null","179","null","82","null","62","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1065","null","252","null","149","null","209","null","34","null","37","null","17","null","30","null","42","null","48","null","125","86","null","null","40","null","43","null","208","null","149","null","13","null","21","null","99","75","null","null","152","70","null","null","110","null","64","null","76","null","53","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3083","null","364","null","56","null","67","null","122","null","158","null","221","null","150","null","115","null","76","null","416","190","null","null","119","null","94","null","593","null","175","null","14","null","24","null","113","84","null","null","799","194","null","null","456","null","158","null","59","null","53","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2289","null","291","null","74","null","36","null","180","null","100","null","245","null","121","null","121","null","83","null","160","80","null","null","103","null","57","null","355","null","113","null","87","null","73","null","246","124","null","null","406","141","null","null","281","null","120","null","31","null","50","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2162","null","270","null","11","null","22","null","81","null","62","null","76","null","78","null","129","null","98","null","336","147","null","null","41","null","49","null","325","null","177","null","146","null","104","null","139","87","null","null","566","173","null","null","245","null","104","null","67","null","77","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2075","null","375","null","43","null","68","null","18","null","31","null","105","null","79","null","72","null","70","null","189","112","null","null","62","null","52","null","497","null","212","null","37","null","45","null","226","123","null","null","402","142","null","null","220","null","110","null","204","null","123","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1023","null","193","null","0","null","89","null","54","null","59","null","174","null","135","null","171","null","111","null","52","61","null","null","21","null","37","null","81","null","77","null","85","null","93","null","52","49","null","null","268","114","null","null","65","null","65","null","0","null","89","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3486","null","448","null","13","null","18","null","90","null","74","null","101","null","58","null","294","null","207","null","366","192","null","null","274","null","123","null","707","null","228","null","117","null","69","null","125","81","null","null","743","220","null","null","604","null","184","null","52","null","50","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","2038","null","267","null","42","null","68","null","27","null","33","null","141","null","83","null","226","null","98","null","262","137","null","null","151","null","88","null","323","null","125","null","31","null","33","null","126","86","null","null","477","124","null","null","170","null","92","null","62","null","60","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2753","null","442","null","65","null","71","null","104","null","86","null","213","null","141","null","268","null","113","null","327","132","null","null","176","null","130","null","579","null","251","null","101","null","82","null","145","84","null","null","459","155","null","null","250","null","133","null","66","null","79","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1607","null","253","null","0","null","89","null","73","null","47","null","188","null","99","null","283","null","104","null","136","85","null","null","45","null","37","null","324","null","127","null","60","null","47","null","65","60","null","null","226","102","null","null","165","null","88","null","42","null","34","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2317","null","361","null","30","null","36","null","269","null","109","null","144","null","102","null","322","null","165","null","190","106","null","null","141","null","115","null","617","null","208","null","8","null","14","null","77","73","null","null","367","132","null","null","118","null","67","null","34","null","36","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","1475","null","262","null","28","null","34","null","99","null","57","null","313","null","123","null","202","null","97","null","117","97","null","null","0","null","89","null","280","null","167","null","13","null","21","null","65","49","null","null","193","101","null","null","103","null","60","null","62","null","43","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","2095","null","413","null","0","null","89","null","209","null","172","null","106","null","67","null","165","null","99","null","210","177","null","null","22","null","38","null","423","null","199","null","0","null","89","null","50","54","null","null","422","148","null","null","371","null","189","null","117","null","82","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1848","null","233","null","8","null","15","null","142","null","98","null","203","null","88","null","188","null","90","null","201","77","null","null","51","null","45","null","363","null","112","null","43","null","36","null","162","62","null","null","325","126","null","null","112","null","53","null","50","null","50","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2681","null","377","null","18","null","24","null","162","null","100","null","255","null","123","null","379","null","167","null","415","175","null","null","118","null","86","null","472","null","226","null","105","null","96","null","205","116","null","null","375","134","null","null","165","null","93","null","12","null","20","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2233","null","339","null","16","null","26","null","193","null","142","null","291","null","135","null","259","null","130","null","219","110","null","null","114","null","86","null","446","null","250","null","90","null","93","null","70","72","null","null","254","125","null","null","243","null","95","null","38","null","45","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1991","null","295","null","68","null","54","null","139","null","87","null","226","null","118","null","73","null","59","null","210","120","null","null","31","null","35","null","383","null","155","null","0","null","89","null","101","40","null","null","212","184","null","null","516","null","172","null","32","null","39","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","942","null","188","null","0","null","89","null","9","null","17","null","132","null","99","null","237","null","132","null","41","51","null","null","30","null","49","null","149","null","111","null","0","null","89","null","0","89","null","null","173","104","null","null","171","null","85","null","0","null","89","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","2747","null","363","null","0","null","89","null","150","null","110","null","292","null","172","null","529","null","179","null","312","164","null","null","163","null","120","null","458","null","195","null","81","null","85","null","154","93","null","null","286","155","null","null","174","null","86","null","148","null","114","null",
