"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006M","B08303_006MA","B08303_006EA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011M","B08303_011MA","B08303_011EA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2235","414","null","null","0","16","null","null","228","null","129","null","145","null","106","null","107","116","null","null","152","84","null","null","65","75","null","null","275","null","136","null","122","null","80","null","119","81","null","null","460","132","null","null","285","139","null","null","277","162","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3122","458","null","null","36","45","null","null","150","null","116","null","266","null","116","null","445","183","null","null","273","114","null","null","41","49","null","null","568","null","188","null","24","null","29","null","281","97","null","null","556","219","null","null","354","174","null","null","128","98","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1082","221","null","null","103","160","null","null","27","null","24","null","31","null","34","null","65","47","null","null","74","64","null","null","47","46","null","null","201","null","125","null","17","null","25","null","140","87","null","null","149","60","null","null","143","69","null","null","85","72","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2832","318","null","null","14","23","null","null","19","null","29","null","161","null","109","null","100","70","null","null","446","169","null","null","120","96","null","null","483","null","175","null","13","null","20","null","143","89","null","null","762","214","null","null","476","143","null","null","95","79","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2322","312","null","null","60","49","null","null","181","null","107","null","262","null","125","null","157","85","null","null","141","74","null","null","135","67","null","null","338","null","113","null","77","null","62","null","161","87","null","null","430","156","null","null","305","108","null","null","75","73","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2099","291","null","null","23","35","null","null","80","null","63","null","85","null","69","null","127","102","null","null","248","115","null","null","55","52","null","null","433","null","178","null","132","null","92","null","166","93","null","null","527","157","null","null","201","94","null","null","22","28","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2123","397","null","null","44","71","null","null","110","null","82","null","46","null","52","null","71","65","null","null","184","111","null","null","73","78","null","null","495","null","216","null","45","null","43","null","213","126","null","null","349","129","null","null","284","100","null","null","209","131","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1012","265","null","null","0","11","null","null","52","null","38","null","117","null","137","null","207","132","null","null","119","93","null","null","17","28","null","null","56","null","55","null","104","null","127","null","61","51","null","null","221","111","null","null","58","49","null","null","0","11","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3690","438","null","null","18","28","null","null","125","null","86","null","90","null","72","null","293","240","null","null","386","201","null","null","309","132","null","null","482","null","197","null","116","null","93","null","223","134","null","null","874","249","null","null","687","201","null","null","87","60","null","null",
