"GEO_ID","NAME","B08303_001E","B08303_001EA","B08303_001M","B08303_001MA","B08303_002E","B08303_002EA","B08303_002M","B08303_002MA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2106","null","380","null","0","null","16","null","288","141","null","null","100","103","null","null","114","118","null","null","162","null","77","null","97","null","102","null","278","null","138","null","35","41","null","null","144","85","null","null","353","null","149","null","319","null","142","null","216","null","105","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3270","null","435","null","55","null","45","null","146","104","null","null","207","106","null","null","560","192","null","null","315","null","125","null","72","null","66","null","596","null","183","null","27","32","null","null","213","100","null","null","540","null","167","null","420","null","157","null","119","null","92","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1102","null","243","null","107","null","166","null","14","23","null","null","49","40","null","null","69","53","null","null","155","null","107","null","65","null","59","null","166","null","124","null","18","27","null","null","135","85","null","null","169","null","64","null","89","null","63","null","66","null","58","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2679","null","347","null","15","null","24","null","20","31","null","null","143","107","null","null","103","69","null","null","477","null","171","null","103","null","94","null","442","null","181","null","10","16","null","null","143","87","null","null","564","null","182","null","574","null","199","null","85","null","80","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2180","null","343","null","48","null","36","null","184","112","null","null","217","108","null","null","98","75","null","null","156","null","95","null","106","null","60","null","403","null","173","null","53","45","null","null","122","66","null","null","430","null","156","null","293","null","105","null","70","null","63","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2177","null","303","null","23","null","36","null","46","45","null","null","68","57","null","null","254","207","null","null","182","null","102","null","51","null","49","null","501","null","192","null","128","91","null","null","167","93","null","null","591","null","161","null","118","null","81","null","48","null","45","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2009","null","403","null","43","null","67","null","119","75","null","null","86","65","null","null","80","57","null","null","225","null","123","null","67","null","73","null","413","null","186","null","73","48","null","null","138","106","null","null","346","null","109","null","230","null","99","null","189","null","108","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1214","null","266","null","9","null","14","null","58","38","null","null","139","132","null","null","265","143","null","null","84","null","57","null","37","null","36","null","109","null","66","null","83","110","null","null","69","49","null","null","283","null","115","null","78","null","60","null","0","null","11","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3330","null","368","null","65","null","63","null","76","53","null","null","33","30","null","null","174","108","null","null","390","null","219","null","181","null","96","null","395","null","165","null","93","90","null","null","282","152","null","null","941","null","273","null","606","null","214","null","94","null","61","null",
