"GEO_ID","NAME","B08303_001E","B08303_001EA","B08303_001M","B08303_001MA","B08303_002E","B08303_002EA","B08303_002M","B08303_002MA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006M","B08303_006MA","B08303_006EA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","1879","null","303","null","0","null","15","null","231","151","null","null","49","59","null","null","112","120","null","null","207","97","null","null","178","111","null","null","200","112","null","null","13","null","21","null","143","90","null","null","314","null","109","null","278","null","117","null","154","null","82","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3072","null","526","null","113","null","59","null","115","90","null","null","148","96","null","null","386","206","null","null","293","130","null","null","101","82","null","null","583","184","null","null","26","null","32","null","236","99","null","null","617","null","203","null","360","null","138","null","94","null","78","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1006","null","265","null","122","null","181","null","23","39","null","null","66","57","null","null","68","59","null","null","106","77","null","null","82","61","null","null","121","67","null","null","12","null","16","null","129","79","null","null","125","null","69","null","96","null","58","null","56","null","55","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2828","null","330","null","15","null","24","null","113","108","null","null","108","69","null","null","88","59","null","null","434","188","null","null","117","95","null","null","336","159","null","null","43","null","51","null","278","132","null","null","597","null","182","null","518","null","210","null","181","null","121","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2173","null","312","null","52","null","52","null","216","110","null","null","215","104","null","null","119","91","null","null","179","103","null","null","74","48","null","null","339","163","null","null","29","null","29","null","129","71","null","null","463","null","173","null","273","null","110","null","85","null","84","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2072","null","390","null","25","null","39","null","43","46","null","null","51","45","null","null","290","243","null","null","74","59","null","null","78","62","null","null","500","219","null","null","56","null","48","null","157","75","null","null","530","null","176","null","236","null","124","null","32","null","33","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1865","null","310","null","47","null","75","null","115","63","null","null","44","41","null","null","112","76","null","null","256","115","null","null","73","86","null","null","311","146","null","null","88","null","51","null","120","114","null","null","281","null","93","null","318","null","107","null","100","null","80","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1107","null","258","null","6","null","11","null","65","43","null","null","132","116","null","null","252","114","null","null","83","44","null","null","45","37","null","null","75","55","null","null","92","null","99","null","46","38","null","null","249","null","105","null","53","null","53","null","9","null","15","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3655","null","356","null","31","null","38","null","65","42","null","null","61","34","null","null","173","124","null","null","480","232","null","null","189","120","null","null","494","210","null","null","130","null","98","null","317","168","null","null","1073","null","272","null","566","null","195","null","76","null","57","null",
