"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2236","387","null","null","15","23","null","null","206","146","null","null","78","null","67","null","241","null","162","null","138","null","102","null","216","108","null","null","327","null","209","null","36","null","37","null","211","null","142","null","391","null","191","null","314","157","null","null","63","null","53","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","2851","336","null","null","122","75","null","null","136","92","null","null","55","null","50","null","409","null","191","null","336","null","127","null","156","102","null","null","369","null","146","null","49","null","61","null","179","null","104","null","462","null","146","null","483","164","null","null","95","null","71","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1045","207","null","null","9","14","null","null","11","17","null","null","117","null","64","null","128","null","95","null","173","null","112","null","65","47","null","null","106","null","49","null","72","null","47","null","105","null","49","null","144","null","50","null","100","52","null","null","15","null","17","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2858","356","null","null","0","15","null","null","145","104","null","null","106","null","63","null","185","null","123","null","292","null","115","null","161","114","null","null","186","null","92","null","56","null","62","null","354","null","137","null","712","null","267","null","464","158","null","null","197","null","122","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2462","318","null","null","67","69","null","null","220","116","null","null","219","null","122","null","144","null","95","null","142","null","85","null","38","49","null","null","420","null","191","null","71","null","72","null","180","null","93","null","551","null","184","null","305","131","null","null","105","null","90","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2027","292","null","null","0","11","null","null","62","64","null","null","115","null","88","null","268","null","213","null","47","null","37","null","126","73","null","null","299","null","131","null","50","null","39","null","252","null","148","null","501","null","159","null","254","111","null","null","53","null","47","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1770","220","null","null","0","11","null","null","137","76","null","null","90","null","75","null","145","null","75","null","254","null","93","null","127","88","null","null","167","null","60","null","108","null","48","null","52","null","41","null","375","null","94","null","256","96","null","null","59","null","29","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","938","207","null","null","8","13","null","null","34","27","null","null","72","null","50","null","115","null","74","null","102","null","58","null","52","39","null","null","89","null","70","null","26","null","30","null","61","null","39","null","253","null","109","null","70","56","null","null","56","null","66","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3796","329","null","null","60","39","null","null","123","77","null","null","71","null","54","null","180","null","106","null","306","null","143","null","112","72","null","null","488","null","204","null","218","null","136","null","364","null","164","null","1125","null","292","null","587","240","null","null","162","null","110","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1850","198","null","null","28","43","null","null","13","16","null","null","47","null","34","null","297","null","138","null","204","null","103","null","69","50","null","null","368","null","123","null","151","null","76","null","157","null","83","null","211","null","69","null","249","96","null","null","56","null","37","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2883","357","null","null","69","77","null","null","208","96","null","null","141","null","99","null","188","null","90","null","244","null","108","null","145","79","null","null","512","null","183","null","35","null","28","null","136","null","80","null","622","null","156","null","401","113","null","null","182","null","86","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1759","286","null","null","0","11","null","null","69","58","null","null","97","null","86","null","246","null","98","null","181","null","84","null","163","96","null","null","339","null","154","null","88","null","57","null","91","null","51","null","200","null","89","null","285","117","null","null","0","null","11","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2583","373","null","null","13","23","null","null","63","57","null","null","476","null","181","null","255","null","126","null","278","null","132","null","162","139","null","null","388","null","230","null","169","null","131","null","145","null","88","null","279","null","123","null","244","110","null","null","111","null","88","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","1888","151","null","null","57","44","null","null","95","41","null","null","286","null","100","null","246","null","107","null","155","null","65","null","88","63","null","null","274","null","91","null","41","null","36","null","154","null","69","null","245","null","83","null","177","85","null","null","70","null","38","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","2117","212","null","null","30","47","null","null","106","96","null","null","177","null","72","null","190","null","76","null","149","null","78","null","51","38","null","null","404","null","113","null","66","null","56","null","209","null","96","null","442","null","154","null","257","100","null","null","36","null","46","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","2173","227","null","null","54","56","null","null","75","59","null","null","138","null","65","null","212","null","92","null","168","null","75","null","107","63","null","null","311","null","127","null","199","null","94","null","203","null","79","null","422","null","119","null","228","85","null","null","56","null","49","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2414","489","null","null","61","71","null","null","140","96","null","null","337","null","202","null","240","null","122","null","360","null","364","null","103","80","null","null","254","null","149","null","60","null","59","null","129","null","123","null","344","null","150","null","386","185","null","null","0","null","15","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2603","351","null","null","20","31","null","null","405","200","null","null","341","null","154","null","251","null","133","null","259","null","152","null","156","115","null","null","514","null","180","null","50","null","70","null","63","null","52","null","348","null","184","null","147","82","null","null","49","null","48","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1700","189","null","null","43","41","null","null","90","44","null","null","183","null","72","null","195","null","83","null","246","null","92","null","47","44","null","null","279","null","103","null","18","null","29","null","68","null","55","null","257","null","81","null","181","90","null","null","93","null","59","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","701","137","null","null","6","9","null","null","12","12","null","null","53","null","37","null","64","null","37","null","86","null","37","null","22","22","null","null","119","null","46","null","46","null","26","null","48","null","32","null","161","null","58","null","77","34","null","null","7","null","10","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","3730","544","null","null","54","52","null","null","223","152","null","null","451","null","187","null","347","null","162","null","489","null","218","null","187","115","null","null","855","null","349","null","13","null","23","null","244","null","133","null","507","null","194","null","299","161","null","null","61","null","51","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2695","377","null","null","0","15","null","null","60","58","null","null","169","null","126","null","268","null","144","null","277","null","121","null","89","62","null","null","539","null","205","null","78","null","73","null","173","null","91","null","483","null","194","null","458","214","null","null","101","null","120","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","3664","461","null","null","157","150","null","null","175","117","null","null","389","null","156","null","300","null","128","null","379","null","145","null","67","45","null","null","464","null","172","null","175","null","120","null","357","null","181","null","624","null","264","null","495","173","null","null","82","null","91","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","2357","299","null","null","12","18","null","null","73","55","null","null","293","null","118","null","197","null","98","null","278","null","126","null","79","41","null","null","332","null","113","null","52","null","55","null","187","null","77","null","392","null","176","null","369","130","null","null","93","null","58","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1711","222","null","null","0","11","null","null","33","47","null","null","220","null","112","null","57","null","35","null","259","null","89","null","97","68","null","null","166","null","92","null","57","null","48","null","167","null","71","null","254","null","103","null","356","117","null","null","45","null","36","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","2024","297","null","null","13","22","null","null","52","70","null","null","69","null","70","null","99","null","89","null","254","null","107","null","95","86","null","null","331","null","228","null","111","null","96","null","106","null","71","null","576","null","263","null","262","146","null","null","56","null","46","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1703","227","null","null","23","37","null","null","38","39","null","null","122","null","61","null","129","null","120","null","81","null","50","null","58","48","null","null","308","null","129","null","47","null","37","null","238","null","130","null","429","null","159","null","180","73","null","null","50","null","31","null",
