"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2297","357","null","null","104","78","null","null","53","null","53","null","151","null","98","null","157","null","107","null","93","null","62","null","132","null","99","null","468","null","199","null","56","null","54","null","209","null","126","null","529","null","165","null","314","null","142","null","31","36","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","2883","402","null","null","0","16","null","null","165","null","103","null","80","null","79","null","299","null","148","null","267","null","119","null","158","null","126","null","369","null","154","null","91","null","69","null","119","null","85","null","490","null","181","null","703","null","287","null","142","103","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1341","172","null","null","0","11","null","null","0","null","11","null","59","null","41","null","197","null","100","null","220","null","95","null","94","null","58","null","140","null","67","null","68","null","41","null","102","null","47","null","254","null","84","null","202","null","102","null","5","9","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3072","380","null","null","0","16","null","null","95","null","76","null","150","null","166","null","495","null","238","null","260","null","110","null","144","null","112","null","342","null","124","null","55","null","63","null","273","null","131","null","724","null","277","null","456","null","182","null","78","65","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2338","362","null","null","39","50","null","null","159","null","83","null","222","null","102","null","184","null","92","null","52","null","45","null","25","null","32","null","414","null","233","null","208","null","116","null","165","null","67","null","569","null","194","null","258","null","123","null","43","47","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2456","374","null","null","0","11","null","null","33","null","39","null","238","null","211","null","98","null","88","null","147","null","69","null","167","null","80","null","122","null","71","null","159","null","98","null","312","null","176","null","691","null","219","null","443","null","229","null","46","43","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1769","220","null","null","13","25","null","null","32","null","32","null","194","null","110","null","132","null","70","null","125","null","63","null","79","null","48","null","288","null","103","null","116","null","61","null","93","null","59","null","460","null","113","null","167","null","72","null","70","42","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","718","175","null","null","0","11","null","null","28","null","20","null","48","null","35","null","24","null","31","null","81","null","78","null","38","null","40","null","110","null","63","null","42","null","43","null","119","null","61","null","147","null","60","null","60","null","45","null","21","24","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3594","432","null","null","9","16","null","null","175","null","132","null","173","null","179","null","189","null","132","null","221","null","136","null","263","null","154","null","531","null","200","null","180","null","126","null","371","null","162","null","748","null","225","null","524","null","192","null","210","148","null","null",
