"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2263","485","null","null","82","65","null","null","32","null","42","null","145","null","104","null","146","null","113","null","526","null","298","null","89","null","93","null","374","188","null","null","20","34","null","null","81","null","77","null","491","null","187","null","235","null","106","null","42","null","54","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3320","553","null","null","37","61","null","null","94","null","63","null","178","null","125","null","224","null","130","null","299","null","173","null","80","null","75","null","622","240","null","null","230","144","null","null","132","null","94","null","802","null","364","null","525","null","272","null","97","null","74","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1369","248","null","null","0","12","null","null","0","null","12","null","105","null","115","null","141","null","84","null","214","null","92","null","133","null","93","null","176","84","null","null","30","34","null","null","89","null","53","null","206","null","105","null","191","null","117","null","84","null","109","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2841","630","null","null","0","17","null","null","51","null","56","null","169","null","180","null","372","null","256","null","225","null","104","null","188","null","99","null","228","121","null","null","294","234","null","null","377","null","293","null","569","null","209","null","336","null","163","null","32","null","42","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1869","347","null","null","50","56","null","null","118","null","87","null","101","null","62","null","223","null","117","null","86","null","65","null","21","null","27","null","382","239","null","null","140","91","null","null","50","null","45","null","479","null","163","null","192","null","115","null","27","null","36","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2274","561","null","null","0","12","null","null","0","null","12","null","185","null","213","null","128","null","155","null","270","null","107","null","70","null","51","null","221","140","null","null","156","98","null","null","128","null","98","null","706","null","271","null","381","null","220","null","29","null","34","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1639","358","null","null","13","26","null","null","29","null","33","null","115","null","81","null","129","null","72","null","34","null","25","null","148","null","138","null","279","121","null","null","110","74","null","null","117","null","58","null","375","null","101","null","250","null","125","null","40","null","27","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","848","197","null","null","20","25","null","null","35","null","26","null","81","null","72","null","25","null","32","null","177","null","91","null","58","null","43","null","110","60","null","null","33","29","null","null","68","null","50","null","147","null","88","null","94","null","59","null","0","null","12","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3111","523","null","null","0","17","null","null","88","null","119","null","404","null","286","null","88","null","65","null","122","null","124","null","301","null","192","null","534","255","null","null","64","61","null","null","338","null","161","null","618","null","213","null","424","null","231","null","130","null","120","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1862","300","null","null","27","38","null","null","22","null","25","null","56","null","41","null","343","null","201","null","245","null","98","null","196","null","118","null","298","103","null","null","171","90","null","null","55","null","45","null","303","null","149","null","137","null","88","null","9","null","14","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2074","296","null","null","0","17","null","null","28","null","29","null","186","null","104","null","160","null","90","null","328","null","108","null","131","null","98","null","379","155","null","null","30","30","null","null","61","null","47","null","501","null","164","null","227","null","102","null","43","null","48","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1975","402","null","null","5","10","null","null","46","null","51","null","173","null","97","null","184","null","117","null","369","null","183","null","88","null","137","null","460","267","null","null","74","51","null","null","55","null","43","null","293","null","120","null","142","null","70","null","86","null","67","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2717","493","null","null","20","24","null","null","183","null","83","null","458","null","197","null","153","null","73","null","273","null","157","null","116","null","83","null","474","429","null","null","57","56","null","null","26","null","30","null","400","null","130","null","470","null","163","null","87","null","74","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2046","429","null","null","27","36","null","null","166","null","76","null","260","null","111","null","52","null","40","null","282","null","173","null","46","null","45","null","229","135","null","null","56","37","null","null","199","null","102","null","284","null","115","null","284","null","167","null","161","null","173","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","2119","417","null","null","86","95","null","null","91","null","75","null","91","null","60","null","256","null","173","null","213","null","127","null","166","null","84","null","397","163","null","null","17","19","null","null","86","null","66","null","462","null","159","null","189","null","111","null","65","null","55","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","2020","389","null","null","93","60","null","null","109","null","80","null","183","null","87","null","163","null","70","null","379","null","310","null","93","null","47","null","292","92","null","null","58","51","null","null","107","null","74","null","315","null","123","null","178","null","112","null","50","null","39","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2260","636","null","null","127","105","null","null","87","null","92","null","204","null","125","null","198","null","122","null","120","null","78","null","112","null","131","null","419","231","null","null","211","194","null","null","126","null","80","null","399","null","204","null","186","null","124","null","71","null","89","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1815","348","null","null","28","32","null","null","159","null","141","null","190","null","103","null","365","null","170","null","242","null","219","null","87","null","73","null","187","125","null","null","67","53","null","null","59","null","57","null","69","null","57","null","226","null","102","null","136","null","146","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","2797","815","null","null","41","53","null","null","163","null","138","null","238","null","176","null","292","null","169","null","650","null","736","null","92","null","98","null","407","136","null","null","125","88","null","null","13","null","21","null","439","null","140","null","267","null","116","null","70","null","80","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","683","96","null","null","0","12","null","null","23","null","22","null","44","null","28","null","50","null","24","null","51","null","40","null","0","null","12","null","193","75","null","null","24","18","null","null","50","null","27","null","134","null","50","null","95","null","48","null","19","null","17","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","3210","916","null","null","3","6","null","null","272","null","187","null","520","null","307","null","431","null","239","null","497","null","214","null","138","null","146","null","679","355","null","null","60","48","null","null","104","null","82","null","194","null","136","null","312","null","177","null","0","null","17","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2808","475","null","null","57","70","null","null","42","null","47","null","114","null","86","null","377","null","163","null","266","null","112","null","176","null","188","null","526","247","null","null","134","77","null","null","138","null","75","null","380","null","217","null","598","null","271","null","0","null","17","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","3005","457","null","null","107","103","null","null","77","null","109","null","158","null","106","null","370","null","213","null","232","null","135","null","137","null","110","null","906","283","null","null","44","65","null","null","70","null","82","null","292","null","196","null","528","null","315","null","84","null","74","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","2930","516","null","null","14","15","null","null","151","null","94","null","181","null","112","null","129","null","74","null","401","null","210","null","101","null","77","null","791","305","null","null","84","63","null","null","108","null","80","null","538","null","205","null","315","null","162","null","117","null","93","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1533","313","null","null","102","89","null","null","25","null","32","null","155","null","127","null","171","null","91","null","193","null","135","null","38","null","33","null","208","131","null","null","36","35","null","null","73","null","51","null","181","null","92","null","315","null","141","null","36","null","31","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","1582","320","null","null","2","6","null","null","122","null","94","null","95","null","90","null","156","null","81","null","128","null","69","null","62","null","63","null","86","79","null","null","9","13","null","null","123","null","84","null","544","null","239","null","220","null","130","null","35","null","56","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1621","267","null","null","54","54","null","null","81","null","68","null","62","null","39","null","84","null","52","null","76","null","61","null","74","null","62","null","262","97","null","null","45","33","null","null","247","null","151","null","472","null","133","null","137","null","83","null","27","null","19","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1040","203","null","null","31","33","null","null","24","null","27","null","96","null","76","null","54","null","34","null","93","null","55","null","41","null","34","null","203","101","null","null","7","11","null","null","68","null","55","null","223","null","92","null","160","null","51","null","40","null","46","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1046","257","null","null","12","18","null","null","175","null","110","null","87","null","59","null","136","null","116","null","121","null","72","null","32","null","25","null","139","88","null","null","16","26","null","null","27","null","19","null","204","null","92","null","65","null","52","null","32","null","38","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","3512","849","null","null","13","22","null","null","123","null","82","null","269","null","192","null","241","null","135","null","466","null","273","null","257","null","268","null","526","351","null","null","88","70","null","null","266","null","111","null","905","null","263","null","333","null","131","null","25","null","28","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1850","408","null","null","47","61","null","null","92","null","69","null","81","null","46","null","116","null","96","null","143","null","70","null","77","null","42","null","358","101","null","null","23","30","null","null","92","null","46","null","494","null","349","null","293","null","126","null","34","null","46","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1293","252","null","null","18","26","null","null","40","null","38","null","60","null","39","null","21","null","25","null","176","null","113","null","59","null","49","null","353","133","null","null","99","52","null","null","70","null","44","null","182","null","79","null","183","null","66","null","32","null","31","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","3666","500","null","null","10","17","null","null","18","null","29","null","71","null","56","null","139","null","94","null","133","null","81","null","281","null","150","null","506","169","null","null","223","109","null","null","724","null","258","null","1025","null","254","null","494","null","204","null","42","null","50","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","1716","430","null","null","41","64","null","null","31","null","34","null","180","null","161","null","26","null","41","null","128","null","130","null","28","null","30","null","308","132","null","null","175","155","null","null","200","null","123","null","379","null","204","null","169","null","106","null","51","null","54","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","1402","188","null","null","0","12","null","null","9","null","14","null","71","null","41","null","87","null","57","null","149","null","98","null","41","null","43","null","289","119","null","null","79","53","null","null","215","null","90","null","226","null","82","null","172","null","74","null","64","null","57","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1720","263","null","null","0","12","null","null","16","null","25","null","41","null","48","null","43","null","42","null","99","null","70","null","134","null","79","null","352","165","null","null","184","81","null","null","214","null","100","null","430","null","138","null","178","null","114","null","29","null","31","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","759","105","null","null","8","10","null","null","51","null","35","null","15","null","14","null","17","null","14","null","10","null","10","null","34","null","23","null","183","64","null","null","32","21","null","null","64","null","38","null","198","null","74","null","109","null","71","null","38","null","31","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1022","159","null","null","0","12","null","null","21","null","20","null","21","null","22","null","23","null","27","null","102","null","57","null","226","null","115","null","156","73","null","null","51","48","null","null","20","null","17","null","265","null","83","null","137","null","67","null","0","null","12","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","1356","171","null","null","45","30","null","null","27","null","26","null","29","null","31","null","124","null","63","null","118","null","77","null","42","null","36","null","137","70","null","null","122","72","null","null","155","null","68","null","355","null","122","null","165","null","93","null","37","null","35","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1095","321","null","null","0","12","null","null","31","null","42","null","24","null","26","null","39","null","44","null","102","null","78","null","9","null","19","null","251","177","null","null","43","46","null","null","100","null","68","null","304","null","134","null","100","null","75","null","92","null","106","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","2031","321","null","null","18","29","null","null","29","null","44","null","118","null","91","null","235","null","148","null","126","null","96","null","164","null","93","null","287","153","null","null","32","36","null","null","89","null","65","null","606","null","154","null","313","null","114","null","14","null","23","null",
