"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003M","B08301_003MA","B08301_003EA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011EA","B08301_011M","B08301_011MA","B08301_012E","B08301_012EA","B08301_012M","B08301_012MA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014EA","B08301_014M","B08301_014MA","B08301_015E","B08301_015M","B08301_015MA","B08301_015EA","B08301_016E","B08301_016M","B08301_016MA","B08301_016EA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019EA","B08301_019M","B08301_019MA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Annotation of Margin of Error!!Total!!Car, truck, or van","Annotation of Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Annotation of Margin of Error!!Total!!Taxicab","Annotation of Estimate!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Annotation of Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Annotation of Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Annotation of Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Annotation of Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Annotation of Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Annotation of Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Annotation of Margin of Error!!Total!!Other means","Annotation of Estimate!!Total!!Other means","Estimate!!Total!!Worked at home","Annotation of Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Annotation of Margin of Error!!Total!!Worked at home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2208","384","null","null","992","223","null","null","750","179","null","null","242","null","147","null","232","null","140","null","10","null","18","null","0","89","null","null","0","89","null","null","0","89","null","null","969","null","328","null","496","null","186","null","0","null","89","null","416","null","240","null","57","null","50","null","0","89","null","null","0","89","null","null","0","null","89","null","0","null","89","null","108","null","75","null","0","89","null","null","139","null","112","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3380","432","null","null","2076","327","null","null","1615","307","null","null","461","null","188","null","413","null","182","null","21","null","33","null","27","45","null","null","0","89","null","null","0","89","null","null","1031","null","243","null","447","null","198","null","0","null","89","null","551","null","161","null","33","null","36","null","0","89","null","null","0","89","null","null","13","null","20","null","32","null","51","null","126","null","82","null","8","13","null","null","94","null","68","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1120","248","null","null","379","146","null","null","309","138","null","null","70","null","55","null","52","null","46","null","18","null","28","null","0","89","null","null","0","89","null","null","0","89","null","null","496","null","151","null","116","null","94","null","0","null","89","null","331","null","136","null","49","null","41","null","0","89","null","null","0","89","null","null","0","null","89","null","17","null","26","null","173","null","214","null","0","89","null","null","55","null","49","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3200","366","null","null","1602","323","null","null","1365","308","null","null","237","null","121","null","203","null","110","null","34","null","55","null","0","89","null","null","0","89","null","null","0","89","null","null","1243","null","283","null","429","null","179","null","0","null","89","null","717","null","204","null","97","null","67","null","0","89","null","null","0","89","null","null","0","null","89","null","35","null","28","null","168","null","113","null","35","56","null","null","117","null","107","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2415","301","null","null","1068","204","null","null","879","178","null","null","189","null","96","null","158","null","97","null","14","null","23","null","17","27","null","null","0","89","null","null","0","89","null","null","768","null","183","null","282","null","119","null","0","null","89","null","444","null","149","null","42","null","35","null","0","89","null","null","0","89","null","null","0","null","89","null","84","null","55","null","308","null","133","null","61","66","null","null","126","null","85","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2311","257","null","null","943","208","null","null","901","204","null","null","42","null","58","null","42","null","58","null","0","null","89","null","0","89","null","null","0","89","null","null","0","89","null","null","1151","null","252","null","409","null","146","null","0","null","89","null","674","null","193","null","68","null","64","null","0","89","null","null","14","22","null","null","0","null","89","null","1","null","12","null","41","null","49","null","12","25","null","null","149","null","96","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2202","385","null","null","920","236","null","null","699","223","null","null","221","null","130","null","221","null","130","null","0","null","89","null","0","89","null","null","0","89","null","null","0","89","null","null","1038","null","296","null","471","null","231","null","0","null","89","null","435","null","125","null","132","null","103","null","0","89","null","null","0","89","null","null","0","null","89","null","13","null","26","null","103","null","93","null","1","2","null","null","127","null","99","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1030","195","null","null","431","131","null","null","376","109","null","null","55","null","63","null","55","null","63","null","0","null","89","null","0","89","null","null","0","89","null","null","0","89","null","null","370","null","128","null","165","null","115","null","0","null","89","null","186","null","107","null","19","null","28","null","0","89","null","null","0","89","null","null","0","null","89","null","57","null","88","null","165","null","121","null","0","89","null","null","7","null","14","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3764","436","null","null","1630","362","null","null","1327","320","null","null","303","null","144","null","170","null","102","null","68","null","70","null","65","93","null","null","0","89","null","null","0","89","null","null","1525","null","314","null","379","null","156","null","69","null","76","null","905","null","243","null","172","null","120","null","0","89","null","null","13","18","null","null","0","null","89","null","23","null","26","null","295","null","209","null","0","89","null","null","278","null","167","null",
