"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003M","B08301_003MA","B08301_003EA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011EA","B08301_011M","B08301_011MA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Annotation of Margin of Error!!Total!!Car, truck, or van","Annotation of Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Annotation of Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Annotation of Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Annotation of Margin of Error!!Total!!Motorcycle","Annotation of Estimate!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Annotation of Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Annotation of Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Annotation of Margin of Error!!Total!!Walked","Annotation of Estimate!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Annotation of Margin of Error!!Total!!Other means","Annotation of Estimate!!Total!!Other means","Estimate!!Total!!Worked at home","Annotation of Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Annotation of Margin of Error!!Total!!Worked at home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2310","409","null","null","1092","332","null","null","792","205","null","null","300","null","194","null","288","null","192","null","12","20","null","null","0","16","null","null","0","16","null","null","0","16","null","null","893","null","335","null","352","null","178","null","0","16","null","null","518","285","null","null","23","27","null","null","0","null","16","null","0","null","16","null","0","16","null","null","21","null","35","null","100","82","null","null","0","16","null","null","204","null","134","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3372","427","null","null","2017","319","null","null","1606","315","null","null","411","null","160","null","383","null","154","null","0","16","null","null","28","45","null","null","0","16","null","null","0","16","null","null","1011","null","270","null","571","null","193","null","0","16","null","null","372","162","null","null","68","63","null","null","0","null","16","null","18","null","32","null","0","16","null","null","103","null","95","null","109","74","null","null","12","19","null","null","102","null","62","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1167","234","null","null","409","143","null","null","373","138","null","null","36","null","35","null","36","null","35","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","563","null","168","null","105","null","82","null","0","11","null","null","372","158","null","null","86","69","null","null","0","null","11","null","0","null","11","null","0","11","null","null","15","null","25","null","115","166","null","null","0","11","null","null","65","null","50","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2868","334","null","null","1251","261","null","null","959","219","null","null","292","null","146","null","204","null","116","null","53","71","null","null","0","16","null","null","0","16","null","null","35","55","null","null","1272","null","332","null","531","null","247","null","0","16","null","null","605","190","null","null","136","92","null","null","0","null","16","null","0","null","16","null","0","16","null","null","52","null","41","null","59","45","null","null","45","72","null","null","189","null","113","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2389","334","null","null","905","182","null","null","679","170","null","null","226","null","116","null","186","null","108","null","10","16","null","null","30","37","null","null","0","11","null","null","0","11","null","null","867","null","224","null","344","null","96","null","0","11","null","null","459","185","null","null","64","50","null","null","0","null","11","null","0","null","11","null","0","11","null","null","76","null","74","null","332","138","null","null","0","11","null","null","209","null","93","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2325","294","null","null","842","239","null","null","842","239","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1223","null","257","null","444","null","166","null","0","11","null","null","682","207","null","null","97","83","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","78","92","null","null","34","54","null","null","148","null","116","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2071","411","null","null","730","225","null","null","507","188","null","null","223","null","153","null","223","null","153","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1029","null","253","null","351","null","157","null","47","76","null","null","501","152","null","null","130","96","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","248","133","null","null","2","4","null","null","62","null","50","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1234","267","null","null","492","170","null","null","462","150","null","null","30","null","46","null","30","null","46","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","443","null","169","null","142","null","121","null","0","11","null","null","242","101","null","null","59","77","null","null","0","null","11","null","0","null","11","null","0","11","null","null","68","null","59","null","211","104","null","null","0","11","null","null","20","null","23","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3572","325","null","null","1448","271","null","null","1337","269","null","null","111","null","69","null","79","null","61","null","18","30","null","null","0","16","null","null","0","16","null","null","14","22","null","null","1626","null","343","null","390","null","142","null","60","63","null","null","983","272","null","null","193","124","null","null","0","null","16","null","35","null","48","null","0","16","null","null","41","null","39","null","138","72","null","null","42","62","null","null","242","null","140","null",
