"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005M","B08301_005MA","B08301_005EA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015M","B08301_015MA","B08301_015EA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Annotation of Margin of Error!!Total!!Car, truck, or van","Annotation of Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Annotation of Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Annotation of Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Annotation of Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Annotation of Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Annotation of Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Annotation of Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Annotation of Margin of Error!!Total!!Walked","Annotation of Estimate!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Annotation of Margin of Error!!Total!!Other means","Annotation of Estimate!!Total!!Other means","Estimate!!Total!!Worked at home","Annotation of Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Annotation of Margin of Error!!Total!!Worked at home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2147","null","323","null","1033","255","null","null","805","null","185","null","228","null","160","null","215","158","null","null","13","null","20","null","0","null","15","null","0","15","null","null","0","null","15","null","677","null","199","null","251","126","null","null","0","15","null","null","411","null","129","null","15","24","null","null","0","15","null","null","0","null","15","null","0","null","15","null","20","null","31","null","136","97","null","null","13","20","null","null","268","null","171","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3186","null","518","null","1815","334","null","null","1525","null","285","null","290","null","137","null","290","137","null","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","981","null","255","null","423","190","null","null","0","15","null","null","458","null","157","null","100","79","null","null","0","15","null","null","34","null","50","null","0","null","15","null","110","null","106","null","113","80","null","null","19","31","null","null","114","null","69","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1091","null","267","null","364","92","null","null","322","null","85","null","42","null","36","null","42","36","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","478","null","154","null","91","68","null","null","0","11","null","null","325","null","137","null","62","59","null","null","0","11","null","null","0","null","11","null","0","null","11","null","27","null","44","null","114","181","null","null","23","39","null","null","85","null","62","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2931","null","332","null","1313","271","null","null","868","null","204","null","445","null","211","null","351","197","null","null","60","null","61","null","0","null","15","null","0","15","null","null","34","null","55","null","1352","null","303","null","581","216","null","null","0","15","null","null","644","null","199","null","127","100","null","null","0","15","null","null","0","null","15","null","0","null","15","null","67","null","52","null","50","42","null","null","46","75","null","null","103","null","55","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2370","null","324","null","794","178","null","null","634","null","163","null","160","null","96","null","129","85","null","null","9","null","16","null","22","null","29","null","0","11","null","null","0","null","11","null","967","null","252","null","338","132","null","null","0","11","null","null","518","null","164","null","111","71","null","null","0","11","null","null","0","null","11","null","0","null","11","null","49","null","50","null","363","143","null","null","0","11","null","null","197","null","98","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2184","null","400","null","747","223","null","null","717","null","216","null","30","null","48","null","30","48","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","1185","null","271","null","464","200","null","null","0","11","null","null","643","null","205","null","78","74","null","null","0","11","null","null","0","null","11","null","0","null","11","null","16","null","24","null","92","91","null","null","32","49","null","null","112","null","93","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1917","null","321","null","603","187","null","null","396","null","163","null","207","null","115","null","207","115","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","1046","null","236","null","402","139","null","null","51","81","null","null","538","null","153","null","55","53","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","215","107","null","null","1","4","null","null","52","null","59","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1127","null","259","null","453","135","null","null","395","null","123","null","58","null","56","null","58","56","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","382","null","159","null","79","97","null","null","0","11","null","null","239","null","126","null","64","39","null","null","0","11","null","null","0","null","11","null","0","null","11","null","58","null","50","null","214","111","null","null","0","11","null","null","20","null","20","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3875","null","335","null","1574","299","null","null","1397","null","289","null","177","null","145","null","133","135","null","null","26","null","45","null","0","null","15","null","0","15","null","null","18","null","28","null","1803","null","362","null","368","163","null","null","13","26","null","null","1242","null","306","null","180","113","null","null","0","15","null","null","0","null","15","null","0","null","15","null","44","null","40","null","185","89","null","null","49","74","null","null","220","null","118","null",
