"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011EA","B08301_011M","B08301_011MA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020EA","B08301_020M","B08301_020MA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Annotation of Margin of Error!!Total!!Car, truck, or van","Annotation of Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Annotation of Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Annotation of Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Annotation of Margin of Error!!Total!!Motorcycle","Annotation of Estimate!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Annotation of Margin of Error!!Total!!Bicycle","Annotation of Estimate!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Annotation of Margin of Error!!Total!!Walked","Annotation of Estimate!!Total!!Walked","Estimate!!Total!!Other means","Annotation of Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Annotation of Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Annotation of Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Annotation of Margin of Error!!Total!!Worked at home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2247","391","null","null","897","273","null","null","735","null","205","null","162","null","146","null","149","null","144","null","13","20","null","null","0","11","null","null","0","11","null","null","0","null","11","null","871","null","218","null","263","null","136","null","0","11","null","null","561","194","null","null","47","56","null","null","0","null","11","null","0","null","11","null","0","11","null","null","33","38","null","null","129","85","null","null","46","null","66","null","271","null","171","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3243","484","null","null","1734","272","null","null","1468","null","239","null","266","null","169","null","266","null","169","null","0","15","null","null","0","15","null","null","0","15","null","null","0","null","15","null","1080","null","344","null","505","null","243","null","0","15","null","null","463","167","null","null","112","76","null","null","0","null","15","null","32","null","45","null","19","31","null","null","102","97","null","null","106","63","null","null","0","null","15","null","170","null","94","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1015","182","null","null","447","129","null","null","421","null","129","null","26","null","26","null","26","null","26","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","434","null","122","null","75","null","67","null","0","11","null","null","279","105","null","null","80","59","null","null","0","null","11","null","0","null","11","null","0","11","null","null","38","39","null","null","4","9","null","null","14","null","23","null","78","null","56","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2896","323","null","null","1352","293","null","null","935","null","234","null","417","null","228","null","311","null","205","null","61","79","null","null","0","15","null","null","0","15","null","null","45","null","73","null","1226","null","277","null","441","null","192","null","0","15","null","null","689","214","null","null","96","92","null","null","0","null","15","null","0","null","15","null","0","15","null","null","67","42","null","null","64","55","null","null","68","null","90","null","119","null","61","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2522","371","null","null","718","162","null","null","555","null","157","null","163","null","94","null","124","null","94","null","24","27","null","null","8","15","null","null","0","15","null","null","7","null","13","null","1158","null","260","null","404","null","170","null","0","15","null","null","612","164","null","null","142","90","null","null","0","null","15","null","0","null","15","null","0","15","null","null","51","64","null","null","353","143","null","null","4","null","9","null","238","null","108","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2174","332","null","null","721","190","null","null","666","null","182","null","55","null","58","null","32","null","50","null","23","35","null","null","0","11","null","null","0","11","null","null","0","null","11","null","1113","null","234","null","451","null","179","null","0","11","null","null","578","178","null","null","84","73","null","null","0","null","11","null","0","null","11","null","0","11","null","null","35","39","null","null","107","77","null","null","36","null","60","null","162","null","121","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2001","356","null","null","646","156","null","null","475","null","139","null","171","null","78","null","171","null","78","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","981","null","249","null","367","null","143","null","47","73","null","null","493","134","null","null","74","54","null","null","0","null","11","null","27","null","45","null","0","11","null","null","27","22","null","null","256","132","null","null","1","null","4","null","63","null","44","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1065","211","null","null","454","151","null","null","387","null","131","null","67","null","64","null","67","null","64","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","382","null","134","null","25","null","25","null","0","11","null","null","301","126","null","null","56","47","null","null","0","null","11","null","0","null","11","null","0","11","null","null","27","36","null","null","163","78","null","null","0","null","11","null","39","null","32","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3709","302","null","null","1426","280","null","null","1236","null","288","null","190","null","159","null","126","null","138","null","42","68","null","null","0","15","null","null","0","15","null","null","22","null","36","null","1686","null","410","null","328","null","153","null","0","15","null","null","1123","315","null","null","235","150","null","null","0","null","15","null","15","null","24","null","0","15","null","null","62","47","null","null","313","158","null","null","75","null","102","null","132","null","110","null",
