"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002EA","B08301_002M","B08301_002MA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008EA","B08301_008M","B08301_008MA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012EA","B08301_012M","B08301_012MA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014EA","B08301_014M","B08301_014MA","B08301_015E","B08301_015M","B08301_015MA","B08301_015EA","B08301_016E","B08301_016M","B08301_016MA","B08301_016EA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020EA","B08301_020M","B08301_020MA","B08301_021E","B08301_021M","B08301_021MA","B08301_021EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Annotation of Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Annotation of Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Annotation of Margin of Error!!Total!!Taxicab","Annotation of Estimate!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Annotation of Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Annotation of Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Annotation of Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Annotation of Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Annotation of Margin of Error!!Total!!Walked","Annotation of Estimate!!Total!!Walked","Estimate!!Total!!Other means","Annotation of Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Annotation of Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Annotation of Margin of Error!!Total!!Worked at home","Annotation of Estimate!!Total!!Worked at home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2476","null","383","null","992","null","323","null","885","null","273","null","107","null","127","null","94","null","125","null","13","21","null","null","0","null","11","null","0","null","11","null","0","null","11","null","968","null","241","null","408","169","null","null","0","null","11","null","477","null","179","null","83","null","84","null","0","11","null","null","0","11","null","null","0","null","11","null","35","null","39","null","122","90","null","null","119","null","97","null","240","112","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3028","null","333","null","1679","null","271","null","1528","null","241","null","151","null","122","null","151","null","122","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","943","null","248","null","375","186","null","null","0","null","15","null","475","null","159","null","93","null","73","null","0","15","null","null","35","49","null","null","2","null","9","null","103","null","98","null","89","68","null","null","0","null","15","null","177","89","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1110","null","210","null","558","null","164","null","487","null","142","null","71","null","52","null","71","null","52","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","427","null","115","null","112","74","null","null","0","null","11","null","243","null","89","null","72","null","50","null","0","11","null","null","0","11","null","null","0","null","11","null","44","null","38","null","5","9","null","null","11","null","17","null","65","35","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3035","null","341","null","1439","null","310","null","1124","null","243","null","315","null","184","null","264","null","170","null","18","31","null","null","0","null","15","null","0","null","15","null","33","null","58","null","1234","null","262","null","334","138","null","null","0","null","15","null","742","null","187","null","158","null","140","null","0","15","null","null","0","15","null","null","0","null","15","null","57","null","39","null","77","71","null","null","51","null","73","null","177","100","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2710","null","332","null","721","null","178","null","554","null","145","null","167","null","110","null","101","null","86","null","53","67","null","null","8","null","15","null","0","null","15","null","5","null","11","null","1246","null","242","null","505","195","null","null","0","null","15","null","602","null","156","null","139","null","93","null","0","15","null","null","0","15","null","null","0","null","15","null","66","null","67","null","425","148","null","null","4","null","11","null","248","121","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2180","null","311","null","795","null","167","null","720","null","165","null","75","null","58","null","37","null","43","null","38","39","null","null","0","null","11","null","0","null","11","null","0","null","11","null","1069","null","250","null","428","144","null","null","0","null","11","null","593","null","205","null","48","null","54","null","0","11","null","null","0","11","null","null","0","null","11","null","30","null","36","null","133","85","null","null","0","null","11","null","153","103","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1846","null","215","null","540","null","122","null","426","null","113","null","114","null","66","null","114","null","66","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","892","null","154","null","281","97","null","null","51","null","80","null","475","null","105","null","85","null","57","null","0","11","null","null","22","32","null","null","0","null","11","null","31","null","25","null","285","113","null","null","0","null","11","null","76","49","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","983","null","203","null","378","null","135","null","357","null","136","null","21","null","24","null","21","null","24","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","406","null","140","null","106","88","null","null","0","null","11","null","249","null","122","null","51","null","57","null","0","11","null","null","0","11","null","null","0","null","11","null","18","null","28","null","136","67","null","null","0","null","11","null","45","35","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3890","null","370","null","1650","null","365","null","1316","null","300","null","334","null","257","null","259","null","222","null","45","69","null","null","0","null","15","null","0","null","15","null","30","null","47","null","1629","null","356","null","290","147","null","null","15","null","24","null","1097","null","255","null","227","null","123","null","0","15","null","null","27","35","null","null","0","null","15","null","94","null","57","null","334","145","null","null","62","null","85","null","94","88","null","null",
