"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004M","B08301_004MA","B08301_004EA","B08301_005E","B08301_005M","B08301_005MA","B08301_005EA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010M","B08301_010MA","B08301_010EA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016M","B08301_016MA","B08301_016EA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021M","B08301_021MA","B08301_021EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Annotation of Margin of Error!!Total!!Car, truck, or van","Annotation of Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Annotation of Margin of Error!!Total!!Taxicab","Annotation of Estimate!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Annotation of Margin of Error!!Total!!Motorcycle","Annotation of Estimate!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Annotation of Margin of Error!!Total!!Bicycle","Annotation of Estimate!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Annotation of Margin of Error!!Total!!Walked","Annotation of Estimate!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Annotation of Margin of Error!!Total!!Other means","Annotation of Estimate!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Annotation of Margin of Error!!Total!!Worked at home","Annotation of Estimate!!Total!!Worked at home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2390","284","null","null","748","260","null","null","748","null","260","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1210","236","null","null","494","185","null","null","0","11","null","null","630","193","null","null","86","81","null","null","0","null","11","null","0","11","null","null","0","11","null","null","63","58","null","null","81","58","null","null","134","115","null","null","154","98","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3016","403","null","null","1680","297","null","null","1589","null","284","null","91","90","null","null","91","90","null","null","0","15","null","null","0","15","null","null","0","15","null","null","0","15","null","null","983","238","null","null","466","207","null","null","0","15","null","null","425","125","null","null","92","72","null","null","0","null","15","null","33","45","null","null","9","14","null","null","122","97","null","null","39","43","null","null","0","15","null","null","150","84","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1203","180","null","null","574","161","null","null","494","null","140","null","80","52","null","null","80","52","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","511","150","null","null","194","98","null","null","0","11","null","null","250","116","null","null","67","49","null","null","0","null","11","null","0","11","null","null","0","11","null","null","42","37","null","null","12","19","null","null","12","18","null","null","52","33","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3122","304","null","null","1559","289","null","null","1313","null","265","null","246","169","null","null","246","169","null","null","0","15","null","null","0","15","null","null","0","15","null","null","0","15","null","null","1205","257","null","null","318","150","null","null","0","15","null","null","804","219","null","null","83","98","null","null","0","null","15","null","24","38","null","null","0","15","null","null","34","41","null","null","99","72","null","null","2","14","null","null","199","101","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2566","368","null","null","631","177","null","null","529","null","149","null","102","101","null","null","45","54","null","null","52","65","null","null","0","15","null","null","0","15","null","null","5","9","null","null","1125","265","null","null","421","186","null","null","0","15","null","null","584","181","null","null","120","87","null","null","0","null","15","null","0","15","null","null","0","15","null","null","90","77","null","null","448","130","null","null","18","23","null","null","254","113","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2450","358","null","null","821","186","null","null","730","null","194","null","91","71","null","null","47","57","null","null","44","49","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1207","288","null","null","444","154","null","null","0","11","null","null","671","233","null","null","92","78","null","null","0","null","11","null","0","11","null","null","0","11","null","null","61","69","null","null","132","85","null","null","44","61","null","null","185","101","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1761","172","null","null","607","152","null","null","423","null","125","null","184","103","null","null","184","103","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","765","140","null","null","292","106","null","null","0","11","null","null","431","106","null","null","42","34","null","null","0","null","11","null","21","33","null","null","9","14","null","null","36","28","null","null","216","99","null","null","0","11","null","null","107","58","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","961","208","null","null","326","123","null","null","303","null","133","null","23","28","null","null","23","28","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","443","143","null","null","145","94","null","null","0","11","null","null","237","120","null","null","61","60","null","null","0","null","11","null","0","11","null","null","0","11","null","null","19","28","null","null","136","65","null","null","0","11","null","null","37","29","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","4029","475","null","null","1523","413","null","null","1209","null","350","null","314","252","null","null","287","246","null","null","0","15","null","null","0","15","null","null","0","15","null","null","27","45","null","null","1784","330","null","null","239","106","null","null","20","34","null","null","1312","349","null","null","213","128","null","null","0","null","15","null","38","49","null","null","0","15","null","null","99","65","null","null","397","215","null","null","0","15","null","null","188","120","null","null",
