"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002EA","B08301_002M","B08301_002MA","B08301_003E","B08301_003M","B08301_003MA","B08301_003EA","B08301_004E","B08301_004M","B08301_004MA","B08301_004EA","B08301_005E","B08301_005M","B08301_005MA","B08301_005EA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010M","B08301_010MA","B08301_010EA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015M","B08301_015MA","B08301_015EA","B08301_016E","B08301_016M","B08301_016MA","B08301_016EA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Car, truck, or van:","Annotation of Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Annotation of Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Annotation of Estimate!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Annotation of Margin of Error!!Total:!!Taxicab","Annotation of Estimate!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Annotation of Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Annotation of Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Annotation of Margin of Error!!Total:!!Bicycle","Annotation of Estimate!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Annotation of Margin of Error!!Total:!!Walked","Annotation of Estimate!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Annotation of Margin of Error!!Total:!!Other means","Annotation of Estimate!!Total:!!Other means","Estimate!!Total:!!Worked from home","Annotation of Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","Annotation of Margin of Error!!Total:!!Worked from home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2611","527","null","null","871","null","306","null","832","297","null","null","39","51","null","null","0","12","null","null","39","null","51","null","0","12","null","null","0","12","null","null","0","12","null","null","1069","236","null","null","376","174","null","null","639","182","null","null","54","null","52","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","180","178","null","null","106","92","null","null","24","40","null","null","361","null","170","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3248","657","null","null","1810","null","306","null","1640","311","null","null","170","126","null","null","115","87","null","null","55","null","90","null","0","17","null","null","0","17","null","null","0","17","null","null","1008","474","null","null","596","428","null","null","391","174","null","null","21","null","34","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","73","61","null","null","115","72","null","null","0","17","null","null","242","null","128","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1540","261","null","null","636","null","166","null","534","145","null","null","102","56","null","null","87","54","null","null","8","null","13","null","7","14","null","null","0","12","null","null","0","12","null","null","741","224","null","null","346","125","null","null","314","129","null","null","81","null","74","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","13","20","null","null","42","37","null","null","14","21","null","null","94","null","73","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3364","721","null","null","2017","null","721","null","1876","721","null","null","141","114","null","null","131","114","null","null","10","null","16","null","0","17","null","null","0","17","null","null","0","17","null","null","1017","266","null","null","149","98","null","null","771","232","null","null","97","null","89","null","0","17","null","null","0","17","null","null","21","33","null","null","0","null","17","null","45","53","null","null","36","36","null","null","0","17","null","null","228","null","116","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2468","412","null","null","863","null","202","null","767","194","null","null","96","50","null","null","18","39","null","null","47","null","42","null","0","17","null","null","31","46","null","null","0","17","null","null","912","277","null","null","197","131","null","null","650","242","null","null","65","null","54","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","62","67","null","null","305","159","null","null","20","27","null","null","306","null","180","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2599","503","null","null","898","null","284","null","812","283","null","null","86","68","null","null","61","63","null","null","25","null","30","null","0","12","null","null","0","12","null","null","0","12","null","null","1214","317","null","null","251","111","null","null","912","294","null","null","51","null","61","null","0","12","null","null","0","12","null","null","36","57","null","null","0","null","12","null","89","64","null","null","51","46","null","null","65","44","null","null","246","null","142","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1832","294","null","null","631","null","217","null","520","207","null","null","111","66","null","null","111","66","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","788","145","null","null","290","107","null","null","477","145","null","null","21","null","23","null","0","12","null","null","0","12","null","null","0","12","null","null","8","null","12","null","6","10","null","null","263","151","null","null","9","14","null","null","127","null","46","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","834","216","null","null","271","null","94","null","226","91","null","null","45","43","null","null","45","43","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","353","116","null","null","102","48","null","null","244","104","null","null","7","null","11","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","87","60","null","null","0","12","null","null","123","null","93","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3909","624","null","null","1407","null","504","null","1152","479","null","null","255","183","null","null","235","180","null","null","20","null","33","null","0","17","null","null","0","17","null","null","0","17","null","null","1464","297","null","null","294","133","null","null","1050","244","null","null","97","null","69","null","23","39","null","null","0","17","null","null","31","45","null","null","0","null","17","null","206","132","null","null","243","194","null","null","0","17","null","null","558","null","256","null",
