"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008EA","B08301_008M","B08301_008MA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014EA","B08301_014M","B08301_014MA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019EA","B08301_019M","B08301_019MA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Annotation of Margin of Error!!Total:!!Car, truck, or van:","Annotation of Estimate!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Annotation of Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Annotation of Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Annotation of Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Annotation of Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Annotation of Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Annotation of Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Annotation of Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Annotation of Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Annotation of Margin of Error!!Total:!!Bicycle","Annotation of Estimate!!Total:!!Bicycle","Estimate!!Total:!!Walked","Annotation of Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Annotation of Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Annotation of Margin of Error!!Total:!!Other means","Annotation of Estimate!!Total:!!Other means","Estimate!!Total:!!Worked from home","Annotation of Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","Annotation of Margin of Error!!Total:!!Worked from home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2628","null","501","null","967","292","null","null","932","null","291","null","35","null","43","null","0","null","12","null","35","null","43","null","0","null","12","null","0","null","12","null","0","null","12","null","929","null","277","null","309","171","null","null","600","214","null","null","20","null","31","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","175","161","null","null","170","null","119","null","22","36","null","null","365","null","202","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3605","null","569","null","2129","412","null","null","1835","null","373","null","294","null","163","null","203","null","133","null","91","null","99","null","0","null","17","null","0","null","17","null","0","null","17","null","990","null","389","null","521","341","null","null","444","205","null","null","25","null","40","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","58","68","null","null","143","null","97","null","0","17","null","null","285","null","136","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1441","null","236","null","601","184","null","null","556","null","179","null","45","null","36","null","29","null","29","null","9","null","13","null","7","null","19","null","0","null","12","null","0","null","12","null","711","null","240","null","357","116","null","null","331","172","null","null","23","null","26","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","43","null","42","null","14","21","null","null","72","null","60","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3206","null","585","null","1925","616","null","null","1722","null","606","null","203","null","126","null","170","null","126","null","15","null","23","null","18","null","29","null","0","null","17","null","0","null","17","null","771","null","224","null","162","99","null","null","577","198","null","null","32","null","37","null","0","null","17","null","0","null","17","null","18","null","28","null","0","null","17","null","101","105","null","null","26","null","30","null","0","17","null","null","365","null","168","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2244","null","375","null","789","221","null","null","740","null","213","null","49","null","65","null","10","null","21","null","0","null","12","null","0","null","12","null","39","null","61","null","0","null","12","null","773","null","257","null","158","169","null","null","554","204","null","null","61","null","42","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","57","62","null","null","231","null","108","null","19","26","null","null","375","null","196","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2653","null","552","null","896","280","null","null","842","null","276","null","54","null","65","null","54","null","65","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","1099","null","368","null","133","107","null","null","902","347","null","null","64","null","65","null","0","null","12","null","0","null","12","null","42","null","61","null","0","null","12","null","144","91","null","null","28","null","36","null","65","55","null","null","379","null","167","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1897","null","350","null","663","264","null","null","584","null","235","null","79","null","61","null","79","null","61","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","725","null","184","null","294","91","null","null","420","152","null","null","11","null","17","null","0","null","12","null","0","null","12","null","0","null","12","null","5","null","8","null","9","10","null","null","214","null","137","null","23","27","null","null","258","null","71","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1008","null","231","null","365","99","null","null","316","null","97","null","49","null","44","null","49","null","44","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","344","null","134","null","76","50","null","null","260","130","null","null","8","null","13","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","24","33","null","null","104","null","73","null","11","16","null","null","160","null","85","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3956","null","604","null","1367","474","null","null","1200","null","468","null","167","null","94","null","127","null","85","null","23","null","38","null","11","null","18","null","0","null","17","null","6","null","13","null","1339","null","350","null","256","152","null","null","961","307","null","null","122","null","89","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","154","123","null","null","227","null","215","null","24","36","null","null","845","null","298","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","2293","null","265","null","1370","290","null","null","1219","null","267","null","151","null","112","null","121","null","108","null","29","null","30","null","1","null","4","null","0","null","12","null","0","null","12","null","324","null","117","null","106","75","null","null","180","94","null","null","38","null","27","null","0","null","12","null","0","null","12","null","47","null","47","null","0","null","12","null","27","31","null","null","94","null","61","null","0","12","null","null","431","null","164","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2338","null","289","null","927","171","null","null","777","null","171","null","150","null","94","null","119","null","82","null","31","null","46","null","0","null","17","null","0","null","17","null","0","null","17","null","923","null","316","null","226","128","null","null","641","296","null","null","26","null","30","null","30","null","44","null","0","null","17","null","43","null","64","null","0","null","17","null","84","72","null","null","97","null","66","null","0","17","null","null","264","null","92","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","2140","null","400","null","1502","335","null","null","1249","null","287","null","253","null","158","null","71","null","43","null","69","null","54","null","94","null","135","null","19","null","31","null","0","null","12","null","345","null","176","null","204","170","null","null","125","73","null","null","16","null","25","null","0","null","12","null","0","null","12","null","20","null","26","null","0","null","12","null","14","26","null","null","83","null","70","null","11","17","null","null","165","null","93","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2951","null","503","null","2048","369","null","null","1722","null","344","null","326","null","179","null","121","null","78","null","105","null","123","null","100","null","130","null","0","null","17","null","0","null","17","null","458","null","236","null","91","41","null","null","337","232","null","null","30","null","37","null","0","null","17","null","0","null","17","null","46","null","62","null","0","null","17","null","0","17","null","null","134","null","122","null","31","40","null","null","234","null","87","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2182","null","434","null","1796","430","null","null","1447","null","352","null","349","null","248","null","188","null","169","null","109","null","122","null","52","null","62","null","0","null","17","null","0","null","17","null","177","null","93","null","93","72","null","null","55","40","null","null","29","null","32","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","12","16","null","null","43","null","34","null","18","27","null","null","136","null","68","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","2288","null","429","null","1388","369","null","null","1324","null","363","null","64","null","61","null","52","null","44","null","0","null","17","null","0","null","17","null","0","null","17","null","12","null","22","null","516","null","183","null","284","152","null","null","145","95","null","null","87","null","64","null","0","null","17","null","0","null","17","null","11","null","17","null","11","null","17","null","44","45","null","null","113","null","75","null","36","51","null","null","169","null","80","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","2221","null","402","null","1546","349","null","null","1212","null","203","null","334","null","274","null","315","null","274","null","19","null","26","null","0","null","12","null","0","null","12","null","0","null","12","null","342","null","158","null","124","104","null","null","105","77","null","null","113","null","86","null","0","null","12","null","0","null","12","null","49","null","48","null","0","null","12","null","0","12","null","null","83","null","69","null","0","12","null","null","201","null","84","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2385","null","641","null","1625","496","null","null","1265","null","398","null","360","null","250","null","217","null","160","null","21","null","37","null","68","null","103","null","0","null","17","null","54","null","55","null","423","null","265","null","303","170","null","null","67","88","null","null","0","null","17","null","53","null","86","null","0","null","17","null","54","null","72","null","0","null","17","null","33","40","null","null","108","null","86","null","17","28","null","null","125","null","86","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2153","null","558","null","1306","285","null","null","1074","null","283","null","232","null","146","null","107","null","70","null","34","null","36","null","0","null","17","null","77","null","119","null","14","null","20","null","201","null","126","null","117","103","null","null","81","81","null","null","3","null","10","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","60","96","null","null","207","null","107","null","41","40","null","null","338","null","283","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","3107","null","1051","null","2177","824","null","null","1995","null","834","null","182","null","147","null","88","null","104","null","93","null","110","null","0","null","17","null","1","null","3","null","0","null","17","null","427","null","119","null","340","112","null","null","69","58","null","null","18","null","25","null","0","null","17","null","0","null","17","null","18","null","29","null","0","null","17","null","0","17","null","null","175","null","94","null","0","17","null","null","310","null","283","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","813","null","105","null","540","89","null","null","512","null","84","null","28","null","21","null","12","null","13","null","8","null","11","null","0","null","12","null","8","null","13","null","0","null","12","null","123","null","50","null","25","19","null","null","98","49","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","15","15","null","null","0","null","12","null","5","8","null","null","130","null","50","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","3377","null","901","null","2598","864","null","null","2389","null","835","null","209","null","159","null","61","null","87","null","101","null","89","null","0","null","17","null","0","null","17","null","47","null","87","null","289","null","181","null","253","176","null","null","16","25","null","null","20","null","35","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","234","null","167","null","89","141","null","null","167","null","111","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","3025","null","492","null","2111","453","null","null","1887","null","462","null","224","null","141","null","77","null","91","null","95","null","103","null","0","null","17","null","36","null","35","null","16","null","27","null","459","null","211","null","297","210","null","null","151","91","null","null","11","null","19","null","0","null","17","null","0","null","17","null","93","null","88","null","0","null","17","null","41","64","null","null","104","null","68","null","0","17","null","null","217","null","125","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","3283","null","483","null","2352","446","null","null","2240","null","452","null","112","null","76","null","13","null","22","null","32","null","51","null","28","null","37","null","39","null","48","null","0","null","17","null","145","null","99","null","97","78","null","null","48","50","null","null","0","null","17","null","0","null","17","null","0","null","17","null","76","null","102","null","0","null","17","null","0","17","null","null","248","null","174","null","184","122","null","null","278","null","178","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","3308","null","587","null","2154","429","null","null","1867","null","406","null","287","null","162","null","174","null","95","null","11","null","18","null","55","null","52","null","47","null","73","null","0","null","17","null","577","null","225","null","367","190","null","null","180","110","null","null","30","null","29","null","0","null","17","null","0","null","17","null","7","null","12","null","0","null","17","null","58","48","null","null","91","null","55","null","43","69","null","null","378","null","324","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1697","null","352","null","905","236","null","null","825","null","214","null","80","null","58","null","47","null","44","null","33","null","45","null","0","null","12","null","0","null","12","null","0","null","12","null","333","null","125","null","204","107","null","null","98","69","null","null","31","null","35","null","0","null","12","null","0","null","12","null","57","null","58","null","0","null","12","null","0","12","null","null","223","null","143","null","15","18","null","null","164","null","110","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","1720","null","325","null","575","215","null","null","464","null","210","null","111","null","81","null","100","null","78","null","0","null","12","null","0","null","12","null","0","null","12","null","11","null","18","null","850","null","284","null","392","145","null","null","417","231","null","null","41","null","54","null","0","null","12","null","0","null","12","null","19","null","25","null","0","null","12","null","0","12","null","null","103","null","91","null","35","56","null","null","138","null","86","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1841","null","263","null","719","178","null","null","565","null","176","null","154","null","85","null","154","null","85","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","765","null","146","null","207","91","null","null","549","143","null","null","0","null","12","null","9","null","16","null","0","null","12","null","21","null","22","null","0","null","12","null","12","18","null","null","104","null","72","null","0","12","null","null","220","null","102","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1175","null","217","null","417","123","null","null","346","null","103","null","71","null","68","null","71","null","68","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","459","null","117","null","226","89","null","null","233","86","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","2","7","null","null","125","null","78","null","37","39","null","null","135","null","73","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1191","null","268","null","279","135","null","null","263","null","133","null","16","null","22","null","16","null","22","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","437","null","139","null","210","95","null","null","227","103","null","null","0","null","12","null","0","null","12","null","0","null","12","null","6","null","13","null","14","null","16","null","7","12","null","null","303","null","126","null","0","12","null","null","145","null","77","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","3953","null","847","null","1951","808","null","null","1707","null","830","null","244","null","192","null","244","null","192","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","1147","null","256","null","253","161","null","null","843","254","null","null","47","null","36","null","4","null","8","null","0","null","17","null","16","null","25","null","0","null","17","null","199","128","null","null","178","null","93","null","21","34","null","null","441","null","177","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","2068","null","413","null","924","172","null","null","763","null","160","null","161","null","78","null","113","null","69","null","48","null","63","null","0","null","12","null","0","null","12","null","0","null","12","null","687","null","384","null","405","351","null","null","282","145","null","null","0","null","12","null","0","null","12","null","0","null","12","null","10","null","15","null","0","null","12","null","74","51","null","null","155","null","82","null","0","12","null","null","218","null","108","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1741","null","292","null","904","222","null","null","880","null","220","null","24","null","23","null","24","null","23","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","272","null","109","null","101","65","null","null","171","79","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","20","22","null","null","66","null","48","null","31","34","null","null","448","null","139","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","4681","null","505","null","1712","361","null","null","1582","null","368","null","130","null","69","null","103","null","54","null","0","null","17","null","27","null","45","null","0","null","17","null","0","null","17","null","1685","null","348","null","292","136","null","null","1311","334","null","null","72","null","80","null","10","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","150","90","null","null","77","null","67","null","42","44","null","null","1015","null","286","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","2042","null","484","null","595","203","null","null","466","null","169","null","129","null","107","null","78","null","92","null","10","null","20","null","41","null","40","null","0","null","12","null","0","null","12","null","914","null","300","null","372","228","null","null","513","178","null","null","29","null","50","null","0","null","12","null","0","null","12","null","13","null","22","null","0","null","12","null","18","29","null","null","176","null","171","null","0","12","null","null","326","null","172","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","1541","null","199","null","363","94","null","null","315","null","97","null","48","null","47","null","19","null","24","null","29","null","40","null","0","null","12","null","0","null","12","null","0","null","12","null","924","null","184","null","459","171","null","null","392","136","null","null","73","null","67","null","0","null","12","null","0","null","12","null","19","null","29","null","27","null","43","null","18","21","null","null","34","null","27","null","17","22","null","null","139","null","52","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1983","null","263","null","890","183","null","null","829","null","195","null","61","null","58","null","31","null","37","null","30","null","42","null","0","null","12","null","0","null","12","null","0","null","12","null","779","null","199","null","438","166","null","null","341","108","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","15","24","null","null","36","null","46","null","0","12","null","null","263","null","114","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","865","null","103","null","271","79","null","null","247","null","76","null","24","null","23","null","24","null","23","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","445","null","91","null","142","55","null","null","280","91","null","null","23","null","25","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","6","7","null","null","37","null","26","null","0","12","null","null","106","null","38","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1292","null","204","null","531","106","null","null","499","null","102","null","32","null","44","null","32","null","44","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","362","null","97","null","223","92","null","null","127","61","null","null","12","null","15","null","0","null","12","null","0","null","12","null","5","null","11","null","0","null","12","null","69","72","null","null","34","null","23","null","21","21","null","null","270","null","171","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","1655","null","238","null","391","107","null","null","364","null","105","null","27","null","31","null","27","null","31","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","837","null","159","null","293","114","null","null","529","141","null","null","15","null","23","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","22","33","null","null","95","null","44","null","11","18","null","null","299","null","185","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1349","null","294","null","409","184","null","null","368","null","164","null","41","null","53","null","41","null","53","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","591","null","213","null","212","150","null","null","263","128","null","null","94","null","108","null","22","null","35","null","0","null","12","null","0","null","12","null","0","null","12","null","30","34","null","null","33","null","44","null","32","42","null","null","254","null","172","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","2706","null","352","null","1035","262","null","null","893","null","233","null","142","null","103","null","142","null","103","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","841","null","223","null","144","95","null","null","638","193","null","null","59","null","49","null","0","null","12","null","0","null","12","null","0","null","12","null","62","null","67","null","64","55","null","null","29","null","44","null","0","12","null","null","675","null","245","null",
