FID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
0,17,031,510300,17031510300,5103,Census Tract 5103,G5020,S,2958348.000000000000000,0.000000000000000,+41.7157373,-087.5749771
1,17,031,520100,17031520100,5201,Census Tract 5201,G5020,S,2581898.000000000000000,521681.000000000000000,+41.7211184,-087.5294325
2,17,097,863006,17097863006,8630.06,Census Tract 8630.06,G5020,S,207264.000000000000000,0.000000000000000,+42.3003410,-087.8538353
3,17,097,863004,17097863004,8630.04,Census Tract 8630.04,G5020,S,4440910.000000000000000,0.000000000000000,+42.3046642,-087.8642654
4,17,097,866200,17097866200,8662,Census Tract 8662,G5020,S,32717452.000000000000000,584438.000000000000000,+42.2360556,-087.9107093
5,17,031,590700,17031590700,5907,Census Tract 5907,G5020,S,869830.000000000000000,12614.000000000000000,+41.8260539,-087.6627888
6,17,031,600400,17031600400,6004,Census Tract 6004,G5020,S,327229.000000000000000,0.000000000000000,+41.8417183,-087.6439322
7,17,019,011100,17019011100,111,Census Tract 111,G5020,S,1071560.000000000000000,6653.000000000000000,+40.1141060,-088.2136070
8,17,105,960700,17105960700,9607,Census Tract 9607,G5020,S,12690819.000000000000000,0.000000000000000,+40.8666809,-088.6415491
9,17,105,960100,17105960100,9601,Census Tract 9601,G5020,S,6505878.000000000000000,0.000000000000000,+41.0944552,-088.4274431
10,17,031,824115,17031824115,8241.15,Census Tract 8241.15,G5020,S,2683154.000000000000000,42699.000000000000000,+41.6238866,-087.8445146
11,17,031,825303,17031825303,8253.03,Census Tract 8253.03,G5020,S,1920870.000000000000000,0.000000000000000,+41.5816302,-087.7858574
12,17,031,830007,17031830007,8300.07,Census Tract 8300.07,G5020,S,3813487.000000000000000,0.000000000000000,+41.4816120,-087.7228759
13,17,031,813801,17031813801,8138.01,Census Tract 8138.01,G5020,S,841626.000000000000000,0.000000000000000,+41.8503452,-087.7434594
14,17,031,830600,17031830600,8306,Census Tract 8306,G5020,S,661394.000000000000000,0.000000000000000,+42.0016980,-087.6735738
15,17,031,830800,17031830800,8308,Census Tract 8308,G5020,S,336529.000000000000000,0.000000000000000,+41.9651413,-087.6765775
16,17,031,830700,17031830700,8307,Census Tract 8307,G5020,S,861986.000000000000000,7945.000000000000000,+41.9583035,-087.6607646
17,17,031,830900,17031830900,8309,Census Tract 8309,G5020,S,990467.000000000000000,47216.000000000000000,+41.9284245,-087.6849065
18,17,031,835200,17031835200,8352,Census Tract 8352,G5020,S,988538.000000000000000,0.000000000000000,+41.7966437,-087.7452866
19,17,031,839900,17031839900,8399,Census Tract 8399,G5020,S,1153324.000000000000000,13899.000000000000000,+41.8273459,-087.6484540
20,17,031,839700,17031839700,8397,Census Tract 8397,G5020,S,618387.000000000000000,13451.000000000000000,+41.8336508,-087.6519488
21,17,031,839800,17031839800,8398,Census Tract 8398,G5020,S,266175.000000000000000,0.000000000000000,+41.8350674,-087.6431623
22,17,031,834800,17031834800,8348,Census Tract 8348,G5020,S,599866.000000000000000,0.000000000000000,+41.7836336,-087.6450883
23,17,031,834700,17031834700,8347,Census Tract 8347,G5020,S,657991.000000000000000,0.000000000000000,+41.7906903,-087.6450334
24,17,089,850500,17089850500,8505,Census Tract 8505,G5020,S,12571708.000000000000000,629481.000000000000000,+42.0861713,-088.2677677
25,17,089,850600,17089850600,8506,Census Tract 8506,G5020,S,21017817.000000000000000,112132.000000000000000,+42.0891381,-088.3228481
26,17,089,850703,17089850703,8507.03,Census Tract 8507.03,G5020,S,106390668.000000000000000,0.000000000000000,+42.0246275,-088.5333170
27,17,089,850301,17089850301,8503.01,Census Tract 8503.01,G5020,S,3751042.000000000000000,42166.000000000000000,+42.1296428,-088.2723355
28,17,111,871108,17111871108,8711.08,Census Tract 8711.08,G5020,S,3606790.000000000000000,37608.000000000000000,+42.1969259,-088.3713137
29,17,111,871208,17111871208,8712.08,Census Tract 8712.08,G5020,S,1815130.000000000000000,19513.000000000000000,+42.1953143,-088.3465571
30,17,031,832000,17031832000,8320,Census Tract 8320,G5020,S,167585.000000000000000,0.000000000000000,+41.9462941,-087.6542982
31,17,031,832500,17031832500,8325,Census Tract 8325,G5020,S,742894.000000000000000,38645.000000000000000,+41.9222304,-087.6647962
32,17,031,832300,17031832300,8323,Census Tract 8323,G5020,S,803547.000000000000000,37059.000000000000000,+41.9198264,-087.6727807
33,17,031,838300,17031838300,8383,Census Tract 8383,G5020,S,348132.000000000000000,0.000000000000000,+41.9015665,-087.6384039
34,17,031,831800,17031831800,8318,Census Tract 8318,G5020,S,1910736.000000000000000,0.000000000000000,+41.9782238,-087.7164874
35,17,031,831700,17031831700,8317,Census Tract 8317,G5020,S,532500.000000000000000,0.000000000000000,+41.9526537,-087.7452546
36,17,031,835100,17031835100,8351,Census Tract 8351,G5020,S,1003979.000000000000000,0.000000000000000,+41.7901579,-087.6862479
37,17,031,835000,17031835000,8350,Census Tract 8350,G5020,S,1004079.000000000000000,0.000000000000000,+41.7828495,-087.6860492
38,17,031,843700,17031843700,8437,Census Tract 8437,G5020,S,1204810.000000000000000,62134.000000000000000,+41.9455604,-087.6900340
39,17,003,957700,17003957700,9577,Census Tract 9577,G5020,S,275569419.000000000000000,29944873.000000000000000,+37.1322588,-089.3422085
40,17,003,957800,17003957800,9578,Census Tract 9578,G5020,S,41485531.000000000000000,4928887.000000000000000,+37.0610007,-089.2058275
41,17,003,957600,17003957600,9576,Census Tract 9576,G5020,S,282415331.000000000000000,5412020.000000000000000,+37.2945891,-089.3516477
42,17,003,957900,17003957900,9579,Census Tract 9579,G5020,S,10197484.000000000000000,4353423.000000000000000,+36.9879616,-089.1636803
43,17,195,001600,17195001600,16,Census Tract 16,G5020,S,2909845.000000000000000,426994.000000000000000,+41.7764933,-089.7070255
44,17,195,001800,17195001800,18,Census Tract 18,G5020,S,70704013.000000000000000,0.000000000000000,+41.7188564,-089.6891840
45,17,195,000400,17195000400,4,Census Tract 4,G5020,S,208832230.000000000000000,12341795.000000000000000,+41.8368336,-090.1020682
46,17,195,001000,17195001000,10,Census Tract 10,G5020,S,7434346.000000000000000,345034.000000000000000,+41.7904970,-089.7298753
47,17,031,220702,17031220702,2207.02,Census Tract 2207.02,G5020,S,575196.000000000000000,0.000000000000000,+41.9293687,-087.7242313
48,17,031,842100,17031842100,8421,Census Tract 8421,G5020,S,2034641.000000000000000,0.000000000000000,+41.8952785,-087.7336103
49,17,031,843300,17031843300,8433,Census Tract 8433,G5020,S,584251.000000000000000,0.000000000000000,+41.8637638,-087.6925503
50,17,195,001500,17195001500,15,Census Tract 15,G5020,S,2770336.000000000000000,332831.000000000000000,+41.7777204,-089.6867078
51,17,197,880430,17197880430,8804.30,Census Tract 8804.30,G5020,S,2233760.000000000000000,14131.000000000000000,+41.5628881,-088.2318336
52,17,197,880510,17197880510,8805.10,Census Tract 8805.10,G5020,S,1250710.000000000000000,40491.000000000000000,+41.6178018,-088.1301971
53,17,197,883219,17197883219,8832.19,Census Tract 8832.19,G5020,S,8775454.000000000000000,0.000000000000000,+41.5326012,-088.2324333
54,17,197,880324,17197880324,8803.24,Census Tract 8803.24,G5020,S,2309797.000000000000000,0.000000000000000,+41.7198959,-088.2479612
55,17,197,880429,17197880429,8804.29,Census Tract 8804.29,G5020,S,3293309.000000000000000,42238.000000000000000,+41.5632163,-088.2162303
56,17,197,880323,17197880323,8803.23,Census Tract 8803.23,G5020,S,6152268.000000000000000,26634.000000000000000,+41.7133960,-088.2230629
57,17,197,883217,17197883217,8832.17,Census Tract 8832.17,G5020,S,1756276.000000000000000,0.000000000000000,+41.5470955,-088.2055529
58,17,197,880322,17197880322,8803.22,Census Tract 8803.22,G5020,S,5874266.000000000000000,39519.000000000000000,+41.6918443,-088.2220148
59,17,197,880427,17197880427,8804.27,Census Tract 8804.27,G5020,S,3827556.000000000000000,0.000000000000000,+41.5769272,-088.1601955
60,17,197,880124,17197880124,8801.24,Census Tract 8801.24,G5020,S,8696986.000000000000000,187661.000000000000000,+41.6760766,-088.1109087
61,17,197,880325,17197880325,8803.25,Census Tract 8803.25,G5020,S,1840981.000000000000000,19957.000000000000000,+41.7059704,-088.2565286
62,17,197,880320,17197880320,8803.20,Census Tract 8803.20,G5020,S,2907445.000000000000000,0.000000000000000,+41.6447308,-088.2142682
63,17,197,880319,17197880319,8803.19,Census Tract 8803.19,G5020,S,3964507.000000000000000,0.000000000000000,+41.6731716,-088.2191292
64,17,197,880321,17197880321,8803.21,Census Tract 8803.21,G5020,S,3888665.000000000000000,0.000000000000000,+41.6587723,-088.2182896
65,17,197,880318,17197880318,8803.18,Census Tract 8803.18,G5020,S,7693526.000000000000000,118827.000000000000000,+41.6681068,-088.1943387
66,17,197,880123,17197880123,8801.23,Census Tract 8801.23,G5020,S,3984578.000000000000000,24931.000000000000000,+41.7054598,-088.1230938
67,17,197,880424,17197880424,8804.24,Census Tract 8804.24,G5020,S,12360423.000000000000000,0.000000000000000,+41.6174613,-088.2417959
68,17,197,880423,17197880423,8804.23,Census Tract 8804.23,G5020,S,4779891.000000000000000,0.000000000000000,+41.6234128,-088.2127934
69,17,197,880317,17197880317,8803.17,Census Tract 8803.17,G5020,S,15020424.000000000000000,524176.000000000000000,+41.6549249,-088.1672485
