"GEO_ID","NAME","B25058_001E","B25058_001M","B25058_001MA","B25058_001EA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent","Annotation of Estimate!!Median contract rent",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","851","123","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1035","80","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","888","53","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","932","37","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","954","31","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","946","25","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","940","40","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","696","96","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","950","46","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","999","67","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","941","30","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1029","79","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","991","116","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","827","136","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1070","155","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1121","73","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","968","72","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1018","98","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1126","86","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1297","124","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","1059","59","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","1110","97","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","1076","41","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","1069","104","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","969","92","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","929","42","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","985","77","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1035","145","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1029","86","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","1092","118","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","957","50","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","890","76","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","1332","56","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","863","47","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","842","35","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","996","50","null","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","817","51","null","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1265","101","null","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","912","123","null","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1099","146","null","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","1331","93","null","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1330","112","null","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","1261","76","null","null",
