"GEO_ID","NAME","B25058_001E","B25058_001EA","B25058_001M","B25058_001MA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Annotation of Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","899","null","138","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1070","null","140","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","993","null","74","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","1082","null","129","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","976","null","86","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","1032","null","50","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1054","null","95","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","806","null","263","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","995","null","134","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1058","null","109","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","1121","null","100","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1126","null","124","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","1106","null","249","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","1057","null","171","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1176","null","108","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1131","null","46","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","1079","null","81","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1145","null","122","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1291","null","98","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1289","null","146","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","1082","null","56","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","1092","null","198","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","1120","null","94","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","1096","null","83","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1033","null","148","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","978","null","48","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1041","null","85","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1060","null","91","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1226","null","160","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","1364","null","168","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1027","null","99","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1041","null","202","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","1420","null","96","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","976","null","60","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","929","null","26","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1124","null","56","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","892","null","59","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1406","null","167","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","1037","null","116","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1325","null","95","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","1353","null","118","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1512","null","209","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","1358","null","253","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","1340","null","156","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","851","null","282","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","1060","null","84","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","1375","null","44","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","706","null","223","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","878","null","62","null",
