"GEO_ID","NAME","B25077_001M","B25077_001MA","B25077_001E","B25077_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","52965","null","245100","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","15442","null","228900","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","93815","null","331000","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","22994","null","242700","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","57005","null","244200","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","12225","null","169500","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","30229","null","261500","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","226507","null","541700","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","34256","null","271600","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","40617","null","247700","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","18322","null","222400","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","28530","null","233200","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","23063","null","340700","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","25529","null","215700","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","83328","null","313100","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","36409","null","296500","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","17974","null","178600","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","44680","null","327700","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","51580","null","287500","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","63415","null","532000","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","44812","null","314500","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","52731","null","359800","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","52946","null","329600","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","52897","null","265500","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","18703","null","130400","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","15501","null","257000","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","35803","null","236100","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","14212","null","139300","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","14098","null","178100","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","69097","null","413500","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","71912","null","330700","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","39018","null","326500","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","67218","null","347400","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","23569","null","232500","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","149004","null","254400","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","48830","null","228100","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","74451","null","195800","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","10430","null","184200","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","51703","null","283300","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","21442","null","195000","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","185434","null","691000","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","77242","null","349400","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","36835","null","285800","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","22909","null","362700","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","18283","null","281900","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","27759","null","180600","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","27796","null","237800","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","34835","null","279700","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","58973","null","257300","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","17302","null","341300","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","64353","null","423800","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","90613","null","410200","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","21107","null","314300","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","44319","null","423700","null",
