"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","250000","null","42828","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","150500","null","25818","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","168300","null","27034","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","174400","null","22827","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","226200","null","39807","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","184200","null","121238","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","217800","null","45423","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","358500","null","86732","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","221700","null","49109","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","198100","null","34540","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","156300","null","18216","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","139400","null","22788","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","337300","null","20747","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","182900","null","18534","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","323000","null","28146","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","242100","null","29296","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","120100","null","31448","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","302700","null","50409","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","329000","null","21049","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","364200","null","24002","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","228600","null","21003","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","345200","null","51490","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","268300","null","36316","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","188500","null","47275","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","92800","null","14765","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","220300","null","23449","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","172100","null","18225","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","157900","null","48419","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","118700","null","7922","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","299000","null","61066","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","280000","null","86138","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","310800","null","59064","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","325700","null","46365","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","170700","null","38759","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","252600","null","183887","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","164300","null","26993","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","153300","null","15503","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","200400","null","33601","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","235100","null","32837","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","171700","null","21557","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","502000","null","81980","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","392200","null","40729","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","410100","null","47923","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","315100","null","65638","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","278800","null","21439","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","159500","null","46900","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","210600","null","23538","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","220200","null","27974","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","223400","null","45643","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","300200","null","26682","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","321500","null","31660","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","314500","null","43769","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","322700","null","35951","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","366700","null","22166","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","338600","null","31576","null",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","184900","null","53419","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","372900","null","39006","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","472000","null","74983","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","407800","null","50355","null",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","610900","null","66739","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","356500","null","65136","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","382600","null","25622","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","469600","null","192268","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","443300","null","68446","null",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","537900","null","99935","null",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","464900","null","49143","null",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","713700","null","97588","null",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","463500","null","72582","null",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","479500","null","114722","null",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","699800","null","69225","null",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","556500","null","125647","null",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","557300","null","67392","null",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","590300","null","105749","null",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","768800","null","176452","null",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","496400","null","74276","null",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","443400","null","36406","null",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","428200","null","90217","null",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","485000","null","164656","null",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","548000","null","113046","null",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","606200","null","63593","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","679200","null","169083","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","206500","null","17596","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","230600","null","44245","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","448100","null","73318","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","542900","null","64880","null",
