"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","255000","60904","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","182500","24235","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","172100","21451","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","233300","26523","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","191900","64689","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","313500","54098","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","237700","18331","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","421400","36613","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","238100","72248","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","338300","62900","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","171100","30710","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","205200","39588","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","361000","16940","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","169500","8725","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","339100","28653","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","288500","17638","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","168200","40162","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","311500","64918","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","410300","55511","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","442800","29942","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","170300","64108","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","385700","63099","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","284500","114279","null","null",
