"GEO_ID","NAME","B25031_001E","B25031_001EA","B25031_001M","B25031_001MA","B25031_002E","B25031_002EA","B25031_002M","B25031_002MA","B25031_003E","B25031_003EA","B25031_003M","B25031_003MA","B25031_004E","B25031_004EA","B25031_004M","B25031_004MA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Annotation of Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Annotation of Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!No bedroom","Annotation of Estimate!!Median gross rent!!Total!!No bedroom","Margin of Error!!Median gross rent!!Total!!No bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!No bedroom","Estimate!!Median gross rent!!Total!!1 bedroom","Annotation of Estimate!!Median gross rent!!Total!!1 bedroom","Margin of Error!!Median gross rent!!Total!!1 bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!1 bedroom","Estimate!!Median gross rent!!Total!!2 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!2 bedrooms","Margin of Error!!Median gross rent!!Total!!2 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!2 bedrooms","Estimate!!Median gross rent!!Total!!3 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!3 bedrooms","Margin of Error!!Median gross rent!!Total!!3 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!3 bedrooms","Estimate!!Median gross rent!!Total!!4 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!4 bedrooms","Margin of Error!!Median gross rent!!Total!!4 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!4 bedrooms","Estimate!!Median gross rent!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Estimate!!Median gross rent!!Total!!5 or more bedrooms",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","875","null","82","null","703","null","47","null","813","null","53","null","1153","null","62","null","829","null","809","null","-","-","**","**","-","**","**","-",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1019","null","73","null","711","null","47","null","848","null","21","null","1132","null","36","null","1367","null","75","null","-","-","**","**","-","**","**","-",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","931","null","55","null","645","null","42","null","850","null","56","null","1123","null","59","null","1515","null","290","null","-","-","**","**","-","**","**","-",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","846","null","40","null","644","null","25","null","849","null","31","null","1141","null","106","null","1536","null","651","null","-","-","**","**","-","**","**","-",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","936","null","60","null","685","null","14","null","921","null","40","null","1236","null","219","null","1627","null","368","null","1392","null","928","null","-","**","**","-",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","834","null","34","null","691","null","53","null","850","null","23","null","960","null","45","null","1449","null","221","null","-","-","**","**","-","**","**","-",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","883","null","40","null","644","null","47","null","842","null","34","null","1125","null","53","null","1292","null","216","null","-","-","**","**","2177","704","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","653","null","55","null","361","null","238","null","635","null","261","null","1656","null","201","null","1368","null","154","null","-","-","**","**","-","**","**","-",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","875","null","49","null","676","null","10","null","848","null","30","null","1144","null","42","null","1185","null","690","null","-","-","**","**","-","**","**","-",
