"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004EA","B25031_004M","B25031_004MA","B25031_005E","B25031_005M","B25031_005MA","B25031_005EA","B25031_006E","B25031_006M","B25031_006MA","B25031_006EA","B25031_007E","B25031_007EA","B25031_007M","B25031_007MA",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Annotation of Margin of Error!!Median gross rent!!Total","Annotation of Estimate!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!No bedroom","Margin of Error!!Median gross rent!!Total!!No bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!No bedroom","Annotation of Estimate!!Median gross rent!!Total!!No bedroom","Estimate!!Median gross rent!!Total!!1 bedroom","Margin of Error!!Median gross rent!!Total!!1 bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!1 bedroom","Annotation of Estimate!!Median gross rent!!Total!!1 bedroom","Estimate!!Median gross rent!!Total!!2 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!2 bedrooms","Margin of Error!!Median gross rent!!Total!!2 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!2 bedrooms","Estimate!!Median gross rent!!Total!!3 bedrooms","Margin of Error!!Median gross rent!!Total!!3 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!3 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!3 bedrooms","Estimate!!Median gross rent!!Total!!4 bedrooms","Margin of Error!!Median gross rent!!Total!!4 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!4 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!4 bedrooms","Estimate!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Estimate!!Median gross rent!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!5 or more bedrooms",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","872","82","null","null","725","42","null","null","806","80","null","null","1151","null","71","null","-","**","**","-","-","**","**","-","-","-","**","**",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1012","57","null","null","715","249","null","null","882","45","null","null","1135","null","49","null","1321","165","null","null","-","**","**","-","-","-","**","**",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","951","30","null","null","742","95","null","null","889","61","null","null","1093","null","100","null","1420","297","null","null","-","**","**","-","-","-","**","**",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","897","39","null","null","645","42","null","null","894","45","null","null","1219","null","137","null","1867","1158","null","null","-","**","**","-","-","-","**","**",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","977","76","null","null","736","39","null","null","973","82","null","null","1174","null","167","null","1680","444","null","null","1427","1179","null","null","-","-","**","**",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","877","26","null","null","743","35","null","null","872","22","null","null","1038","null","124","null","-","**","**","-","-","**","**","-","-","-","**","**",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","916","41","null","null","663","45","null","null","871","35","null","null","1152","null","72","null","1467","259","null","null","-","**","**","-","2179","null","828","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","659","136","null","null","340","194","null","null","674","470","null","null","1488","null","244","null","1362","123","null","null","-","**","**","-","-","-","**","**",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","958","77","null","null","693","37","null","null","883","33","null","null","1198","null","60","null","1202","704","null","null","-","**","**","-","-","-","**","**",
