"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","922","136","null","null","765","70","null","null","936","143","null","null","1144","103","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1120","60","null","null","769","94","null","null","927","37","null","null","1233","77","null","null","1309","null","293","null","-","-","**","**","-","**","**","-",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","988","78","null","null","821","96","null","null","912","51","null","null","1357","88","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","979","43","null","null","789","108","null","null","963","28","null","null","1247","182","null","null","2166","null","179","null","-","-","**","**","-","**","**","-",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1004","63","null","null","939","21","null","null","1038","81","null","null","1233","249","null","null","1392","null","776","null","1455","null","1134","null","-","**","**","-",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","1007","58","null","null","906","66","null","null","993","45","null","null","1233","166","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1008","62","null","null","858","107","null","null","1014","63","null","null","1398","57","null","null","1606","null","378","null","-","-","**","**","-","**","**","-",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","727","92","null","null","330","70","null","null","671","439","null","null","1439","272","null","null","1488","null","223","null","-","-","**","**","-","**","**","-",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","1077","77","null","null","760","46","null","null","1001","77","null","null","1393","88","null","null","1191","null","503","null","-","-","**","**","-","**","**","-",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1090","85","null","null","926","161","null","null","947","51","null","null","1257","97","null","null","1382","null","344","null","-","-","**","**","-","**","**","-",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","1044","79","null","null","773","51","null","null","981","31","null","null","1329","132","null","null","1324","null","248","null","-","-","**","**","-","**","**","-",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1121","79","null","null","-","**","**","-","1014","103","null","null","1134","79","null","null","1386","null","83","null","-","-","**","**","-","**","**","-",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","1059","160","null","null","-","**","**","-","956","13","null","null","1141","42","null","null","1469","null","402","null","-","-","**","**","-","**","**","-",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","883","158","null","null","-","**","**","-","478","298","null","null","1122","225","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1207","192","null","null","-","**","**","-","1040","153","null","null","1234","114","null","null","1739","null","68","null","-","-","**","**","-","**","**","-",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1191","66","null","null","-","**","**","-","1050","89","null","null","1250","118","null","null","1453","null","248","null","-","-","**","**","-","**","**","-",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","1094","63","null","null","-","**","**","-","735","456","null","null","1142","63","null","null","1403","null","329","null","-","-","**","**","-","**","**","-",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1137","192","null","null","-","**","**","-","969","116","null","null","1322","186","null","null","1384","null","125","null","-","-","**","**","-","**","**","-",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1323","83","null","null","-","**","**","-","680","295","null","null","1308","114","null","null","1390","null","112","null","1750","null","158","null","-","**","**","-",
