"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005M","B25031_005MA","B25031_005EA","B25031_006E","B25031_006M","B25031_006MA","B25031_006EA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","922","188","null","null","723","48","null","null","884","174","null","null","1124","136","null","null","1394","364","null","null","-","**","**","-","-","**","**","-",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1154","66","null","null","776","263","null","null","960","125","null","null","1321","81","null","null","1300","264","null","null","-","**","**","-","-","**","**","-",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1070","109","null","null","870","76","null","null","943","39","null","null","1325","194","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","1099","125","null","null","879","58","null","null","1090","152","null","null","1278","216","null","null","2148","215","null","null","-","**","**","-","-","**","**","-",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","985","100","null","null","972","27","null","null","826","366","null","null","1219","221","null","null","1268","873","null","null","2231","120","null","null","-","**","**","-",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","1026","68","null","null","941","36","null","null","993","69","null","null","1191","112","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1004","75","null","null","902","69","null","null","991","66","null","null","1455","94","null","null","1682","251","null","null","-","**","**","-","-","**","**","-",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","836","205","null","null","317","61","null","null","679","303","null","null","1604","245","null","null","1691","123","null","null","1750","1689","null","null","-","**","**","-",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","1078","93","null","null","786","164","null","null","1015","81","null","null","1333","128","null","null","1526","778","null","null","-","**","**","-","-","**","**","-",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1072","120","null","null","-","**","**","-","1013","70","null","null","1278","80","null","null","1494","760","null","null","-","**","**","-","-","**","**","-",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","1169","106","null","null","803","68","null","null","1022","70","null","null","1452","183","null","null","1595","175","null","null","-","**","**","-","-","**","**","-",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1191","103","null","null","-","**","**","-","1058","96","null","null","1238","199","null","null","1402","100","null","null","-","**","**","-","-","**","**","-",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","1182","63","null","null","-","**","**","-","1126","36","null","null","1167","87","null","null","1786","638","null","null","-","**","**","-","-","**","**","-",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","1136","229","null","null","-","**","**","-","875","707","null","null","1213","146","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1160","70","null","null","-","**","**","-","1036","139","null","null","1175","84","null","null","1710","189","null","null","-","**","**","-","-","**","**","-",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1199","79","null","null","-","**","**","-","1124","179","null","null","1226","92","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","1142","57","null","null","-","**","**","-","942","333","null","null","1146","59","null","null","1522","271","null","null","-","**","**","-","-","**","**","-",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1309","77","null","null","-","**","**","-","961","191","null","null","1356","35","null","null","1401","110","null","null","-","**","**","-","-","**","**","-",
