"GEO_ID","NAME","B25031_001E","B25031_001EA","B25031_001M","B25031_001MA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007EA","B25031_007M","B25031_007MA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","999","null","156","null","782","97","null","null","870","220","null","null","1333","81","null","null","1286","null","552","null","-","-","**","**","-","-","**","**",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1206","null","109","null","843","181","null","null","979","33","null","null","1389","81","null","null","1688","null","482","null","-","-","**","**","-","-","**","**",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1099","null","131","null","866","63","null","null","980","58","null","null","1393","60","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","1152","null","103","null","883","78","null","null","1144","135","null","null","1297","167","null","null","1851","null","172","null","-","-","**","**","-","-","**","**",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1039","null","137","null","993","59","null","null","796","434","null","null","1395","228","null","null","1571","null","437","null","-","-","**","**","-","-","**","**",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","1121","null","51","null","1028","192","null","null","1093","53","null","null","1378","236","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1134","null","55","null","970","49","null","null","1114","67","null","null","1585","159","null","null","1800","null","474","null","-","-","**","**","-","-","**","**",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","922","null","245","null","306","208","null","null","531","381","null","null","1680","178","null","null","1684","null","114","null","2250","null","1633","null","-","-","**","**",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","1084","null","152","null","839","155","null","null","1012","121","null","null","1350","77","null","null","1449","null","1279","null","-","-","**","**","-","-","**","**",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1183","null","124","null","-","**","**","-","1071","69","null","null","1345","62","null","null","1727","null","414","null","-","-","**","**","-","-","**","**",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","1179","null","108","null","832","60","null","null","999","66","null","null","1586","167","null","null","1678","null","139","null","-","-","**","**","-","-","**","**",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1221","null","108","null","-","**","**","-","1081","119","null","null","1286","242","null","null","1389","null","114","null","-","-","**","**","-","-","**","**",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","1199","null","211","null","-","**","**","-","1137","36","null","null","1196","245","null","null","1897","null","969","null","-","-","**","**","-","-","**","**",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","1220","null","172","null","-","**","**","-","1074","512","null","null","1319","168","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1249","null","147","null","-","**","**","-","1124","14","null","null","1259","155","null","null","1734","null","56","null","-","-","**","**","-","-","**","**",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1202","null","66","null","-","**","**","-","1163","158","null","null","1245","127","null","null","1363","null","256","null","-","-","**","**","-","-","**","**",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","1204","null","153","null","-","**","**","-","914","413","null","null","1243","165","null","null","1478","null","176","null","-","-","**","**","-","-","**","**",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1343","null","62","null","789","116","null","null","1118","247","null","null","1380","27","null","null","1465","null","210","null","-","-","**","**","-","-","**","**",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1402","null","107","null","-","**","**","-","733","216","null","null","1431","171","null","null","1381","null","131","null","1754","null","129","null","-","-","**","**",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1434","null","177","null","-","**","**","-","625","298","null","null","1398","88","null","null","1819","null","258","null","-","-","**","**","-","-","**","**",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","1183","null","47","null","1109","30","null","null","886","73","null","null","1207","75","null","null","1862","null","286","null","-","-","**","**","-","-","**","**",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","1176","null","184","null","-","**","**","-","970","29","null","null","1244","131","null","null","1693","null","88","null","-","-","**","**","-","-","**","**",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","1227","null","104","null","888","274","null","null","1032","198","null","null","1217","126","null","null","1469","null","171","null","-","-","**","**","-","-","**","**",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","1308","null","87","null","-","**","**","-","1105","97","null","null","1294","138","null","null","1498","null","202","null","-","-","**","**","-","-","**","**",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1121","null","122","null","-","**","**","-","891","134","null","null","1201","100","null","null","2219","null","125","null","-","-","**","**","-","-","**","**",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","1026","null","94","null","983","121","null","null","1125","86","null","null","-","**","**","-","662","null","205","null","-","-","**","**","-","-","**","**",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1070","null","86","null","879","41","null","null","1154","72","null","null","1581","298","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1078","null","88","null","889","55","null","null","1169","94","null","null","2053","756","null","null","2713","null","101","null","-","-","**","**","-","-","**","**",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1276","null","146","null","845","53","null","null","1295","136","null","null","1488","297","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","1412","null","121","null","968","69","null","null","1186","126","null","null","1763","110","null","null","1447","null","678","null","-","-","**","**","-","-","**","**",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1086","null","102","null","868","52","null","null","1010","96","null","null","1180","241","null","null","2000","null","723","null","-","-","**","**","-","-","**","**",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1120","null","165","null","879","136","null","null","827","264","null","null","1389","151","null","null","1932","null","1059","null","-","-","**","**","-","-","**","**",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","1552","null","108","null","1111","179","null","null","1243","129","null","null","1646","84","null","null","1864","null","195","null","-","-","**","**","-","-","**","**",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","1034","null","108","null","933","27","null","null","1078","172","null","null","1201","736","null","null","2080","null","290","null","-","-","**","**","-","-","**","**",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","954","null","23","null","908","34","null","null","989","101","null","null","1429","875","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1153","null","39","null","980","74","null","null","1173","43","null","null","2013","309","null","null","1168","null","910","null","-","-","**","**","-","-","**","**",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","942","null","73","null","850","27","null","null","1313","151","null","null","-","**","**","-","1430","null","330","null","-","-","**","**","-","-","**","**",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1414","null","164","null","1132","204","null","null","1524","176","null","null","2150","1015","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
