"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","5303","782","null","null","1700","476","null","null","2710","646","null","null","0","119","null","null","541","null","334","null","0","119","null","null","69","null","70","null","283","184","null","null","13","null","24","null","270","182","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","5924","952","null","null","1916","398","null","null","2831","709","null","null","0","119","null","null","312","null","192","null","0","119","null","null","735","null","486","null","130","128","null","null","41","null","56","null","89","117","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2981","499","null","null","1347","431","null","null","1093","271","null","null","0","119","null","null","61","null","64","null","6","11","null","null","321","null","258","null","153","131","null","null","58","null","70","null","95","110","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6475","810","null","null","3723","578","null","null","1638","504","null","null","0","119","null","null","391","null","226","null","0","119","null","null","611","null","419","null","112","80","null","null","15","null","24","null","97","76","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","4651","611","null","null","3299","523","null","null","646","157","null","null","0","119","null","null","441","null","225","null","0","119","null","null","138","null","99","null","127","76","null","null","0","null","119","null","127","76","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","4138","484","null","null","1740","252","null","null","2048","472","null","null","0","119","null","null","248","null","162","null","0","119","null","null","29","null","61","null","73","52","null","null","10","null","15","null","63","50","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","3294","510","null","null","1924","472","null","null","644","257","null","null","31","51","null","null","308","null","185","null","0","119","null","null","109","null","123","null","278","139","null","null","32","null","27","null","246","136","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1778","421","null","null","1354","329","null","null","287","165","null","null","0","119","null","null","94","null","84","null","0","119","null","null","15","null","25","null","28","32","null","null","0","null","119","null","28","32","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6563","700","null","null","2990","443","null","null","1859","473","null","null","9","16","null","null","346","null","182","null","0","119","null","null","1083","null","602","null","276","142","null","null","12","null","18","null","264","139","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","3734","455","null","null","2196","427","null","null","587","144","null","null","0","119","null","null","65","null","104","null","0","119","null","null","736","null","372","null","150","103","null","null","0","null","119","null","150","103","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","5514","693","null","null","2457","421","null","null","1121","412","null","null","0","119","null","null","75","null","60","null","0","119","null","null","1779","null","639","null","82","70","null","null","13","null","20","null","69","69","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","3541","355","null","null","1889","386","null","null","1065","326","null","null","0","119","null","null","528","null","174","null","0","119","null","null","25","null","42","null","34","45","null","null","0","null","119","null","34","45","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","6773","481","null","null","3949","576","null","null","1160","464","null","null","0","119","null","null","1480","null","448","null","0","119","null","null","83","null","83","null","101","95","null","null","64","null","74","null","37","56","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","4470","413","null","null","3798","427","null","null","146","131","null","null","0","119","null","null","290","null","136","null","0","119","null","null","155","null","234","null","81","131","null","null","0","null","119","null","81","131","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","4605","525","null","null","3112","426","null","null","413","404","null","null","0","119","null","null","480","null","232","null","0","119","null","null","355","null","213","null","245","225","null","null","44","null","72","null","201","213","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","3835","383","null","null","2544","353","null","null","373","178","null","null","112","184","null","null","645","null","178","null","0","119","null","null","41","null","41","null","120","93","null","null","10","null","15","null","110","88","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","5750","666","null","null","1969","455","null","null","813","324","null","null","0","119","null","null","1651","null","490","null","12","29","null","null","1053","null","561","null","252","177","null","null","17","null","28","null","235","175","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","6035","835","null","null","3101","648","null","null","450","350","null","null","32","54","null","null","1049","null","275","null","0","119","null","null","1322","null","536","null","81","92","null","null","0","null","119","null","81","92","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","4407","596","null","null","1508","346","null","null","298","208","null","null","43","54","null","null","1078","null","329","null","39","53","null","null","1290","null","698","null","151","228","null","null","0","null","119","null","151","228","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1928","309","null","null","1090","332","null","null","113","173","null","null","0","119","null","null","463","null","219","null","0","119","null","null","248","null","237","null","14","20","null","null","0","null","119","null","14","20","null","null",
