"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","5163","685","null","null","2005","null","508","null","2467","null","569","null","0","null","16","null","474","366","null","null","0","16","null","null","58","null","46","null","159","96","null","null","28","null","31","null","131","null","87","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","6752","889","null","null","2404","null","605","null","3141","null","770","null","0","null","16","null","483","287","null","null","0","16","null","null","595","null","373","null","129","118","null","null","10","null","15","null","119","null","117","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2557","386","null","null","1316","null","357","null","892","null","270","null","9","null","14","null","40","44","null","null","14","22","null","null","140","null","137","null","146","108","null","null","68","null","67","null","78","null","74","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6049","729","null","null","3266","null","508","null","1675","null","547","null","8","null","17","null","656","438","null","null","0","16","null","null","279","null","179","null","165","87","null","null","31","null","33","null","134","null","82","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","4690","560","null","null","3308","null","502","null","694","null","144","null","0","null","11","null","422","194","null","null","0","11","null","null","116","null","84","null","150","79","null","null","0","null","11","null","150","null","79","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","3995","414","null","null","2188","null","309","null","1480","null","322","null","0","null","11","null","155","115","null","null","0","11","null","null","1","null","2","null","171","122","null","null","16","null","26","null","155","null","118","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","4098","711","null","null","2423","null","577","null","606","null","191","null","34","null","56","null","638","636","null","null","0","11","null","null","222","null","245","null","175","129","null","null","13","null","21","null","162","null","120","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","2098","438","null","null","1467","null","448","null","243","null","109","null","0","null","11","null","315","131","null","null","0","11","null","null","12","null","18","null","61","76","null","null","46","null","71","null","15","null","25","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","7170","738","null","null","3327","null","491","null","2503","null","754","null","3","null","13","null","281","242","null","null","0","16","null","null","701","null","562","null","355","222","null","null","0","null","16","null","355","null","222","null",
