"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","5068","null","641","null","2233","593","null","null","2328","null","570","null","0","null","16","null","232","null","235","null","0","null","16","null","69","60","null","null","206","null","124","null","33","null","38","null","173","null","114","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7316","null","809","null","2809","719","null","null","3399","null","686","null","10","null","17","null","362","null","227","null","0","null","16","null","541","377","null","null","195","null","138","null","35","null","30","null","160","null","133","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2583","null","380","null","1357","373","null","null","832","null","207","null","9","null","14","null","46","null","44","null","15","null","24","null","167","149","null","null","157","null","97","null","74","null","73","null","83","null","68","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6065","null","741","null","3212","501","null","null","1606","null","483","null","6","null","14","null","858","null","530","null","0","null","16","null","284","224","null","null","99","null","73","null","19","null","31","null","80","null","62","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","4694","null","488","null","3431","405","null","null","682","null","211","null","0","null","11","null","313","null","185","null","0","null","11","null","119","83","null","null","149","null","83","null","9","null","19","null","140","null","82","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","3816","null","415","null","2355","329","null","null","1120","null","308","null","0","null","11","null","146","null","86","null","0","null","11","null","1","2","null","null","194","null","132","null","0","null","11","null","194","null","132","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","3760","null","608","null","2237","593","null","null","584","null","158","null","0","null","11","null","567","null","639","null","0","null","11","null","247","225","null","null","125","null","85","null","22","null","35","null","103","null","78","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","2325","null","424","null","1708","452","null","null","226","null","119","null","0","null","11","null","290","null","133","null","0","null","11","null","8","18","null","null","93","null","84","null","45","null","70","null","48","null","48","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6946","null","660","null","3627","557","null","null","2515","null","735","null","7","null","18","null","98","null","132","null","0","null","16","null","288","234","null","null","411","null","346","null","0","null","16","null","411","null","346","null",
