"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4189","522","null","null","2073","447","null","null","1687","405","null","null","0","15","null","null","162","null","225","null","0","15","null","null","93","65","null","null","174","108","null","null","19","29","null","null","155","null","104","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7083","924","null","null","3198","758","null","null","3545","743","null","null","16","27","null","null","148","null","138","null","0","15","null","null","41","39","null","null","135","195","null","null","38","43","null","null","97","null","188","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2502","424","null","null","1099","373","null","null","839","241","null","null","6","11","null","null","248","null","289","null","18","33","null","null","208","143","null","null","84","65","null","null","40","44","null","null","44","null","49","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6213","842","null","null","3429","456","null","null","1806","608","null","null","5","10","null","null","741","null","493","null","0","15","null","null","148","183","null","null","84","58","null","null","20","33","null","null","64","null","48","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","4730","472","null","null","3427","404","null","null","660","346","null","null","0","11","null","null","395","null","214","null","0","11","null","null","93","84","null","null","155","81","null","null","49","51","null","null","106","null","62","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","3831","417","null","null","2330","331","null","null","1190","322","null","null","0","11","null","null","100","null","62","null","0","11","null","null","17","26","null","null","194","137","null","null","0","11","null","null","194","null","137","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","3690","649","null","null","2123","488","null","null","595","207","null","null","0","11","null","null","638","null","684","null","0","11","null","null","246","265","null","null","88","69","null","null","24","38","null","null","64","null","58","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","2228","402","null","null","1577","385","null","null","217","100","null","null","0","11","null","null","326","null","113","null","0","11","null","null","12","25","null","null","96","78","null","null","39","61","null","null","57","null","49","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6513","606","null","null","4087","525","null","null","1910","586","null","null","4","12","null","null","106","null","109","null","0","15","null","null","87","82","null","null","319","273","null","null","0","15","null","null","319","null","273","null",
