"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4388","null","546","null","2216","453","null","null","1716","465","null","null","0","11","null","null","166","240","null","null","0","null","11","null","119","null","83","null","171","135","null","null","96","117","null","null","75","66","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7032","null","745","null","3108","553","null","null","3348","745","null","null","56","58","null","null","182","122","null","null","0","null","15","null","25","null","30","null","313","181","null","null","23","37","null","null","290","174","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2275","null","342","null","1097","254","null","null","735","174","null","null","10","15","null","null","196","140","null","null","0","null","11","null","202","null","140","null","35","40","null","null","0","11","null","null","35","40","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6205","null","503","null","3876","472","null","null","1623","402","null","null","7","14","null","null","503","374","null","null","0","null","15","null","70","null","78","null","126","87","null","null","33","37","null","null","93","78","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","5603","null","549","null","3921","460","null","null","1076","533","null","null","0","15","null","null","313","171","null","null","0","null","15","null","108","null","92","null","185","94","null","null","61","57","null","null","124","78","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","3906","null","372","null","2346","300","null","null","1161","261","null","null","0","11","null","null","173","110","null","null","0","null","11","null","35","null","39","null","191","151","null","null","0","11","null","null","191","151","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","3045","null","398","null","2005","418","null","null","633","181","null","null","9","14","null","null","166","83","null","null","0","null","11","null","143","null","136","null","89","66","null","null","32","44","null","null","57","53","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","2112","null","330","null","1429","330","null","null","213","98","null","null","0","11","null","null","353","117","null","null","0","null","11","null","7","null","12","null","110","68","null","null","8","12","null","null","102","67","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6624","null","744","null","4132","538","null","null","1725","571","null","null","0","15","null","null","142","106","null","null","0","null","15","null","295","null","314","null","330","240","null","null","6","19","null","null","324","241","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","3921","null","362","null","2284","403","null","null","739","251","null","null","0","11","null","null","444","215","null","null","0","null","11","null","338","null","285","null","116","96","null","null","13","23","null","null","103","104","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","5608","null","726","null","3537","729","null","null","1059","283","null","null","0","15","null","null","346","227","null","null","0","null","15","null","452","null","256","null","214","125","null","null","0","15","null","null","214","125","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","4025","null","468","null","1439","305","null","null","1474","486","null","null","0","11","null","null","765","360","null","null","0","null","11","null","173","null","177","null","174","99","null","null","0","11","null","null","174","99","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","6796","null","667","null","4381","718","null","null","737","417","null","null","0","15","null","null","1334","561","null","null","0","null","15","null","188","null","281","null","156","100","null","null","0","15","null","null","156","100","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","5297","null","379","null","4349","401","null","null","204","153","null","null","38","33","null","null","623","139","null","null","0","null","15","null","18","null","21","null","65","55","null","null","33","39","null","null","32","37","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","4940","null","379","null","3552","404","null","null","582","227","null","null","0","11","null","null","586","311","null","null","0","null","11","null","76","null","72","null","144","123","null","null","14","21","null","null","130","120","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","4624","null","360","null","2576","324","null","null","1032","356","null","null","0","11","null","null","733","250","null","null","0","null","11","null","208","null","147","null","75","53","null","null","18","28","null","null","57","42","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","5927","null","902","null","2473","608","null","null","932","455","null","null","0","15","null","null","1690","609","null","null","0","null","15","null","306","null","235","null","526","260","null","null","64","79","null","null","462","254","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","6380","null","810","null","4158","737","null","null","382","274","null","null","233","223","null","null","1387","454","null","null","0","null","15","null","15","null","25","null","205","195","null","null","18","33","null","null","187","189","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","4378","null","454","null","2260","450","null","null","476","262","null","null","0","11","null","null","1173","346","null","null","0","null","11","null","378","null","236","null","91","82","null","null","0","11","null","null","91","82","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1692","null","215","null","1107","173","null","null","59","57","null","null","4","7","null","null","369","88","null","null","0","null","11","null","50","null","47","null","103","62","null","null","74","57","null","null","29","26","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","7795","null","791","null","4171","780","null","null","637","455","null","null","0","15","null","null","1822","607","null","null","0","null","15","null","676","null","760","null","489","293","null","null","155","109","null","null","334","269","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","5084","null","521","null","3418","449","null","null","105","133","null","null","0","15","null","null","1270","438","null","null","0","null","15","null","25","null","29","null","266","171","null","null","24","39","null","null","242","167","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","7436","null","655","null","3091","724","null","null","760","568","null","null","0","15","null","null","3052","735","null","null","0","null","15","null","113","null","139","null","420","335","null","null","32","52","null","null","388","329","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","5203","null","703","null","2507","491","null","null","1080","437","null","null","0","15","null","null","1099","353","null","null","0","null","15","null","363","null","235","null","154","87","null","null","2","6","null","null","152","87","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","4146","null","453","null","2633","441","null","null","528","192","null","null","0","11","null","null","850","187","null","null","0","null","11","null","99","null","137","null","36","28","null","null","9","15","null","null","27","25","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","3547","null","480","null","2360","375","null","null","784","447","null","null","23","35","null","null","194","128","null","null","0","null","11","null","87","null","70","null","99","85","null","null","16","25","null","null","83","93","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","2914","null","298","null","1736","301","null","null","696","180","null","null","17","21","null","null","241","112","null","null","0","null","11","null","147","null","104","null","77","73","null","null","35","57","null","null","42","47","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","2313","null","310","null","1306","302","null","null","362","141","null","null","3","7","null","null","452","159","null","null","8","null","14","null","124","null","130","null","58","45","null","null","12","15","null","null","46","41","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","3484","null","439","null","2117","360","null","null","396","146","null","null","0","11","null","null","711","251","null","null","0","null","11","null","78","null","61","null","182","80","null","null","96","67","null","null","86","50","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","5251","null","709","null","4484","640","null","null","276","196","null","null","2","4","null","null","249","103","null","null","0","null","15","null","142","null","175","null","98","84","null","null","24","34","null","null","74","76","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","3174","null","287","null","2136","290","null","null","301","190","null","null","0","11","null","null","394","117","null","null","0","null","11","null","212","null","185","null","131","63","null","null","53","49","null","null","78","51","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","2584","null","255","null","1931","239","null","null","322","213","null","null","12","17","null","null","166","80","null","null","0","null","11","null","67","null","45","null","86","58","null","null","32","30","null","null","54","56","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","6468","null","668","null","5272","622","null","null","227","148","null","null","0","15","null","null","568","206","null","null","0","null","15","null","201","null","149","null","200","99","null","null","72","60","null","null","128","83","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","4001","null","481","null","2572","492","null","null","831","266","null","null","0","11","null","null","519","328","null","null","0","null","11","null","6","null","13","null","73","63","null","null","28","43","null","null","45","48","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","1954","null","275","null","888","177","null","null","720","263","null","null","75","92","null","null","203","98","null","null","0","null","11","null","32","null","32","null","36","29","null","null","7","12","null","null","29","25","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","2973","null","228","null","1480","240","null","null","530","197","null","null","0","11","null","null","855","233","null","null","0","null","11","null","6","null","11","null","102","70","null","null","18","21","null","null","84","65","null","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","1654","null","246","null","938","192","null","null","390","155","null","null","9","14","null","null","267","136","null","null","0","null","11","null","28","null","32","null","22","21","null","null","3","7","null","null","19","17","null","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1572","null","165","null","1074","171","null","null","119","74","null","null","0","11","null","null","351","158","null","null","0","null","11","null","0","null","11","null","28","28","null","null","21","25","null","null","7","11","null","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","2727","null","256","null","1833","263","null","null","487","165","null","null","38","60","null","null","120","58","null","null","0","null","11","null","80","null","58","null","169","123","null","null","41","47","null","null","128","116","null","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","3590","null","278","null","2106","277","null","null","686","124","null","null","0","11","null","null","631","297","null","null","0","null","11","null","93","null","94","null","74","84","null","null","0","11","null","null","74","84","null","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","4184","null","500","null","3275","442","null","null","197","112","null","null","0","11","null","null","383","193","null","null","0","null","11","null","95","null","90","null","234","213","null","null","3","5","null","null","231","212","null","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","3040","null","335","null","2200","275","null","null","365","324","null","null","0","11","null","null","276","165","null","null","0","null","11","null","115","null","155","null","84","75","null","null","19","23","null","null","65","73","null","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","3987","null","286","null","3235","355","null","null","155","107","null","null","0","11","null","null","356","257","null","null","0","null","11","null","104","null","107","null","137","105","null","null","8","13","null","null","129","107","null","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","4377","null","411","null","3114","298","null","null","184","162","null","null","10","18","null","null","402","200","null","null","0","null","11","null","552","null","249","null","115","92","null","null","7","13","null","null","108","92","null","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","5756","null","536","null","3051","598","null","null","1459","282","null","null","56","70","null","null","954","449","null","null","25","null","40","null","17","null","27","null","194","101","null","null","19","31","null","null","175","96","null","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","7800","null","587","null","3626","455","null","null","2353","601","null","null","16","27","null","null","1580","425","null","null","0","null","15","null","94","null","113","null","131","110","null","null","20","70","null","null","111","91","null","null",
