"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4444","444","null","null","2009","292","null","null","2059","541","null","null","0","11","null","null","33","null","33","null","0","11","null","null","168","141","null","null","175","null","145","null","74","125","null","null","101","null","75","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7197","787","null","null","3634","737","null","null","2816","827","null","null","64","62","null","null","121","null","91","null","0","15","null","null","148","132","null","null","414","null","301","null","23","38","null","null","391","null","299","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2487","301","null","null","1231","321","null","null","743","179","null","null","0","11","null","null","195","null","142","null","0","11","null","null","285","191","null","null","33","null","39","null","0","11","null","null","33","null","39","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6413","540","null","null","3859","484","null","null","1838","441","null","null","6","12","null","null","359","null","323","null","6","13","null","null","222","198","null","null","123","null","99","null","32","36","null","null","91","null","94","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","5411","566","null","null","3761","495","null","null","1178","556","null","null","0","15","null","null","295","null","170","null","0","15","null","null","40","40","null","null","137","null","81","null","60","58","null","null","77","null","54","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","4081","444","null","null","2182","332","null","null","1364","279","null","null","0","11","null","null","211","null","153","null","0","11","null","null","215","210","null","null","109","null","66","null","0","11","null","null","109","null","66","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2631","247","null","null","1613","192","null","null","647","185","null","null","9","14","null","null","225","null","100","null","0","11","null","null","58","37","null","null","79","null","56","null","33","45","null","null","46","null","36","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","2047","348","null","null","1501","354","null","null","151","77","null","null","0","11","null","null","282","null","130","null","0","11","null","null","7","11","null","null","106","null","65","null","8","12","null","null","98","null","64","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6515","745","null","null","4004","599","null","null","1402","476","null","null","0","15","null","null","138","null","92","null","0","15","null","null","663","327","null","null","308","null","261","null","2","27","null","null","306","null","262","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","3833","361","null","null","2307","443","null","null","704","237","null","null","0","11","null","null","452","null","204","null","0","11","null","null","227","207","null","null","143","null","128","null","17","23","null","null","126","null","133","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","5333","567","null","null","3076","508","null","null","1226","414","null","null","0","15","null","null","344","null","215","null","0","15","null","null","502","274","null","null","185","null","109","null","0","15","null","null","185","null","109","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","4208","461","null","null","1424","367","null","null","1063","418","null","null","0","11","null","null","1027","null","516","null","0","11","null","null","462","383","null","null","232","null","127","null","24","40","null","null","208","null","120","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","6905","504","null","null","4423","613","null","null","990","303","null","null","0","15","null","null","990","null","278","null","0","15","null","null","309","247","null","null","193","null","128","null","64","100","null","null","129","null","78","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","5295","407","null","null","4231","383","null","null","188","110","null","null","10","17","null","null","703","null","187","null","0","15","null","null","99","87","null","null","64","null","51","null","16","23","null","null","48","null","44","null",
