"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4522","null","529","null","2118","439","null","null","2087","null","503","null","0","null","11","null","28","32","null","null","0","11","null","null","131","null","93","null","158","null","114","null","53","null","98","null","105","null","76","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7039","null","804","null","3392","841","null","null","2643","null","871","null","15","null","26","null","148","108","null","null","0","15","null","null","469","null","298","null","372","null","232","null","0","null","15","null","372","null","232","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2852","null","291","null","1265","229","null","null","783","null","215","null","29","null","41","null","323","229","null","null","0","11","null","null","414","null","210","null","38","null","39","null","7","null","11","null","31","null","37","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6650","null","514","null","3921","525","null","null","2093","null","641","null","5","null","12","null","150","115","null","null","6","12","null","null","246","null","174","null","229","null","113","null","30","null","34","null","199","null","111","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","5153","null","609","null","3654","472","null","null","995","null","415","null","0","null","15","null","327","179","null","null","0","15","null","null","67","null","45","null","110","null","75","null","50","null","55","null","60","null","49","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","4147","null","368","null","2116","257","null","null","1399","null","240","null","0","null","11","null","246","162","null","null","0","11","null","null","272","null","261","null","114","null","80","null","0","null","11","null","114","null","80","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2802","null","331","null","1522","177","null","null","858","null","274","null","8","null","13","null","234","94","null","null","0","11","null","null","100","null","78","null","80","null","47","null","2","null","6","null","78","null","48","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1713","null","280","null","1170","279","null","null","227","null","125","null","0","null","11","null","216","98","null","null","0","11","null","null","8","null","12","null","92","null","65","null","8","null","13","null","84","null","64","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6271","null","623","null","4186","597","null","null","1030","null","408","null","0","null","15","null","162","97","null","null","0","15","null","null","672","null","367","null","221","null","138","null","16","null","41","null","205","null","130","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","3766","null","355","null","2293","432","null","null","719","null","292","null","0","null","11","null","518","296","null","null","0","11","null","null","117","null","110","null","119","null","113","null","23","null","28","null","96","null","101","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","5096","null","553","null","2937","498","null","null","1184","null","396","null","0","null","15","null","397","248","null","null","0","15","null","null","435","null","238","null","143","null","78","null","0","null","15","null","143","null","78","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","3836","null","361","null","1486","335","null","null","1170","null","364","null","0","null","11","null","396","102","null","null","0","11","null","null","543","null","299","null","241","null","115","null","48","null","59","null","193","null","103","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","6739","null","510","null","3926","652","null","null","1068","null","380","null","0","null","15","null","1186","475","null","null","0","15","null","null","354","null","246","null","205","null","122","null","55","null","90","null","150","null","89","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","5472","null","456","null","4417","460","null","null","202","null","137","null","12","null","20","null","600","182","null","null","0","15","null","null","99","null","97","null","142","null","120","null","14","null","22","null","128","null","117","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","5348","null","481","null","3712","463","null","null","850","null","265","null","50","null","102","null","516","234","null","null","0","15","null","null","41","null","40","null","179","null","108","null","0","null","15","null","179","null","108","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","4236","null","370","null","2430","440","null","null","867","null","378","null","0","null","11","null","631","230","null","null","0","11","null","null","173","null","142","null","135","null","67","null","18","null","30","null","117","null","60","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","6584","null","815","null","2499","693","null","null","837","null","324","null","0","null","15","null","2340","615","null","null","0","15","null","null","346","null","230","null","562","null","273","null","36","null","56","null","526","null","263","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","6131","null","643","null","3758","660","null","null","570","null","373","null","234","null","218","null","1333","332","null","null","0","15","null","null","74","null","89","null","162","null","204","null","32","null","43","null","130","null","202","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","4734","null","475","null","2545","501","null","null","544","null","311","null","0","null","11","null","996","331","null","null","0","11","null","null","530","null","336","null","119","null","87","null","0","null","11","null","119","null","87","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1748","null","162","null","1275","139","null","null","102","null","85","null","5","null","7","null","283","55","null","null","0","11","null","null","26","null","31","null","57","null","36","null","5","null","9","null","52","null","35","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","7674","null","849","null","4383","766","null","null","672","null","225","null","0","null","15","null","1734","635","null","null","0","15","null","null","611","null","346","null","274","null","228","null","119","null","93","null","155","null","157","null",
