"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4599","null","511","null","2148","null","398","null","2078","454","null","null","0","null","11","null","46","null","43","null","0","null","11","null","172","null","135","null","155","null","116","null","52","null","88","null","103","null","72","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7455","null","812","null","3459","null","852","null","2520","886","null","null","15","null","26","null","301","null","173","null","0","null","16","null","561","null","324","null","599","null","435","null","58","null","96","null","541","null","424","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2896","null","307","null","1351","null","279","null","982","241","null","null","35","null","55","null","155","null","142","null","0","null","11","null","333","null","212","null","40","null","39","null","8","null","12","null","32","null","37","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6485","null","500","null","3866","null","501","null","2007","659","null","null","6","null","14","null","66","null","71","null","7","null","15","null","258","null","187","null","275","null","172","null","29","null","41","null","246","null","168","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","5213","null","497","null","3691","null","451","null","1111","397","null","null","0","null","16","null","241","null","142","null","0","null","16","null","75","null","69","null","95","null","61","null","7","null","14","null","88","null","60","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","4102","null","390","null","2037","null","326","null","1388","263","null","null","0","null","11","null","256","null","163","null","0","null","11","null","280","null","253","null","141","null","88","null","0","null","11","null","141","null","88","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","3089","null","322","null","1728","null","245","null","876","309","null","null","10","null","15","null","262","null","109","null","0","null","11","null","120","null","97","null","93","null","56","null","10","null","16","null","83","null","54","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1806","null","324","null","1250","null","295","null","255","128","null","null","0","null","11","null","225","null","101","null","0","null","11","null","8","null","13","null","68","null","50","null","9","null","13","null","59","null","48","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6395","null","708","null","3909","null","571","null","1139","417","null","null","0","null","16","null","204","null","122","null","0","null","16","null","940","null","598","null","203","null","122","null","22","null","45","null","181","null","121","null",
