"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4644","721","null","null","2430","534","null","null","1649","500","null","null","0","12","null","null","91","85","null","null","0","12","null","null","248","null","201","null","226","134","null","null","123","115","null","null","103","75","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","7488","1046","null","null","3003","749","null","null","2646","981","null","null","10","19","null","null","426","265","null","null","0","17","null","null","615","null","334","null","788","489","null","null","374","379","null","null","414","332","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","3154","445","null","null","1282","320","null","null","1031","420","null","null","30","46","null","null","198","142","null","null","0","12","null","null","551","null","283","null","62","43","null","null","12","18","null","null","50","44","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6135","1116","null","null","3249","474","null","null","1802","757","null","null","8","16","null","null","148","136","null","null","8","17","null","null","716","null","804","null","204","143","null","null","9","15","null","null","195","141","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","5193","684","null","null","3843","632","null","null","972","428","null","null","0","17","null","null","229","135","null","null","0","17","null","null","87","null","72","null","62","50","null","null","8","17","null","null","54","47","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","4039","762","null","null","2062","669","null","null","1399","338","null","null","0","12","null","null","277","145","null","null","0","12","null","null","195","null","175","null","106","64","null","null","21","30","null","null","85","56","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2960","360","null","null","1593","234","null","null","778","248","null","null","2","3","null","null","252","96","null","null","0","12","null","null","236","null","203","null","99","60","null","null","26","23","null","null","73","55","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1973","423","null","null","1411","422","null","null","233","104","null","null","0","12","null","null","203","110","null","null","0","12","null","null","15","null","22","null","111","96","null","null","8","13","null","null","103","94","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6363","1079","null","null","3779","767","null","null","1330","612","null","null","0","17","null","null","292","169","null","null","0","17","null","null","564","null","481","null","398","296","null","null","10","29","null","null","388","290","null","null",
