"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","4534","null","691","null","2005","null","473","null","1751","472","null","null","0","12","null","null","81","null","81","null","0","null","12","null","221","null","211","null","476","317","null","null","351","null","305","null","125","null","90","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","8232","null","1160","null","2663","null","810","null","3269","1108","null","null","34","59","null","null","365","null","279","null","0","null","17","null","797","null","427","null","1104","680","null","null","522","null","391","null","582","null","592","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","3124","null","489","null","1206","null","295","null","1032","458","null","null","37","52","null","null","174","null","173","null","0","null","12","null","558","null","312","null","117","104","null","null","97","null","102","null","20","null","23","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","6085","null","971","null","3057","null","449","null","1759","669","null","null","59","66","null","null","215","null","145","null","7","null","17","null","716","null","806","null","272","170","null","null","48","null","83","null","224","null","159","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","4587","null","675","null","3619","null","556","null","498","270","null","null","0","12","null","null","240","null","164","null","0","null","12","null","72","null","80","null","158","106","null","null","26","null","32","null","132","null","102","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","4057","null","718","null","2487","null","642","null","984","358","null","null","0","12","null","null","274","null","165","null","0","null","12","null","186","null","168","null","126","94","null","null","77","null","73","null","49","null","50","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2816","null","341","null","1690","null","253","null","508","193","null","null","3","5","null","null","168","null","73","null","0","null","12","null","215","null","224","null","232","112","null","null","102","null","64","null","130","null","97","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","2182","null","403","null","1682","null","386","null","258","105","null","null","0","12","null","null","109","null","55","null","0","null","12","null","0","null","12","null","133","90","null","null","19","null","26","null","114","null","88","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","6553","null","1064","null","3743","null","785","null","1422","644","null","null","0","17","null","null","265","null","175","null","0","null","17","null","698","null","578","null","425","256","null","null","82","null","64","null","343","null","245","null",
