year,census_tract,f0_
2014,17031063100,46390
2014,17031070600,41627
2014,17031060100,16956
2014,17031830900,24569
2014,17031980100,305817
2014,17031081300,509789
2014,17031320100,1489365
2014,17031081500,1094166
2014,17031071500,329356
2014,17031080300,254141
2014,17031071800,44059
2014,17031031300,23503
2014,17031062100,108444
2014,17031243500,101505
2014,17031842300,169130
2014,17031832000,93275
2014,17031061100,59550
2014,17031242000,57669
2014,17031051100,5207
2014,17031280800,12
2014,17031071400,166909
2014,17031010702,1218
2014,17031020901,1181
2014,17031242500,13618
2014,17031210501,486
2014,17031010600,4744
2014,17031010701,268
2014,17031839800,105
2014,17031010300,2559
2014,17031221100,7305
2014,17031140702,1059
2014,17031221500,9273
2014,17031160700,3054
2014,17031051200,7726
2014,17031100100,87
2014,17031480100,1
2014,17031411000,23978
2014,17031839200,1940
2014,17031842000,1256
2014,17031350400,1428
2014,17031030601,2462
2014,17031283200,3315
2014,17031843200,1140
2014,17031241100,10899
2014,17031841000,177988
2014,17031310900,377
2014,17031760801,5798
2014,17031837100,191
2014,17031051000,3450
2014,17031242800,1710
2014,17031351400,25
2014,17031230900,695
2014,17031210502,623
2014,17031020702,406
2014,17031130300,172
2014,17031280400,2233
2014,17031282700,318
2014,17031230200,121
2014,17031839900,320
2014,17031390100,24
2014,17031110300,66
2014,17031600600,45
2014,17031280900,12
2013,17031242100,26990
2013,17031839100,1577953
2014,17031140500,148
2014,17031400300,7
2014,17031020301,37
2014,17031231500,12
2014,17031100200,98
2014,17031660400,3
2014,17031230600,51
2013,17031980000,493286
2013,17031081800,548628
2013,17031839000,83183
2013,17031842200,129059
2013,17031832200,22821
2013,17031071100,68174
2013,17031061902,39536
2013,17031010400,2674
2013,17031243300,12527
2013,17031071400,108660
2013,17031060800,32745
2013,17031062100,75660
2013,17031050900,497
2013,17031240500,19278
2013,17031063400,39521
2013,17031063301,22527
2013,17031070500,23352
2013,17031050100,5037
2013,17031841100,14004
2013,17031031700,15397
2013,17031051200,4443
2013,17031061800,6229
2013,17031040401,1326
2013,17031837800,1985
2013,17031222200,6287
2013,17031030703,1487
2013,17031060500,4782
2013,17031051000,1506
2013,17031030101,1796
2013,17031160601,412
2013,17031210700,1935
2013,17031140702,287
2015,17031070500,21788
2013,17031390700,2557
2015,17031081000,190382
2015,17031281900,842442
2015,17031081202,178049
2015,17031050300,719
2015,17031063200,71909
2016,17031281900,752440
2016,17031081000,191996
2016,17031830900,8050
2016,17031841000,174052
2016,17031320600,281904
2016,17031770700,73166
2016,17031031300,14343
2015,17031832600,93366
2015,17031241400,107196
2015,17031063400,44351
2015,17031071300,52717
2015,17031310600,5117
2015,17031243400,22451
2015,17031062500,12396
2015,17031242200,36876
2015,17031051100,2628
2015,17031050200,14227
2015,17031060500,4510
2015,17031031300,17752
2013,17031010201,165
2013,17031240700,115
2013,17031310900,129
2013,17031020702,104
2015,17031071700,11024
2017,17031081402,247880
2018,17031281900,688728
2017,17031081300,397948
2017,17031839100,1937570
2015,17031283100,3319
2016,17031061901,27014
2017,17031281900,747841
2018,17031841300,130
2017,17031210601,141
2017,17031080300,134886
2017,17031071500,171499
2017,17031070400,16078
2015,17031220601,865
2017,17031061902,26677
2017,17031060900,39385
2015,17031390700,4494
2016,17031838000,1452
2018,17031241400,29608
2017,17031310600,2006
2016,17031070102,39305
2018,17031221600,1617
2017,17031831100,1955
2017,17031832500,18611
2016,17031080400,35198
2017,17031061000,25313
2017,17031031700,6376
2016,17031330200,20375
2015,17031051200,4412
2017,17031062900,20240
2016,17031070200,65426
2017,17031063400,17097
2017,17031220300,535
2017,17031081900,24597
2016,17031243100,8750
2016,17031031502,4969
2018,17031063000,15815
2018,17031839000,92184
2018,17031062000,14294
2015,17031242800,966
2018,17031030703,587
2018,17031330200,13019
2015,17031160800,1186
2015,17031110502,273
2017,17031061200,3375
2018,17031070300,19801
2016,17031030200,5190
2018,17031070102,14155
2015,17031051400,2600
2015,17031700401,5
2018,17031830700,3984
2017,17031830900,3633
2015,17031842900,691
2018,17031030200,1408
2018,17031832600,35828
2015,17031410900,948
2016,17031031700,16677
2015,17031838000,1961
2016,17031410600,114
2018,17031832100,3407
2018,17031210400,7
2016,17031030703,2638
2017,17031060400,9296
2016,17031031900,2908
2016,17031240200,7231
2016,17031283100,1962
2016,17031160501,137
2016,17031832300,23115
2018,17031243100,2752
2018,17031051300,1545
2018,17031241600,6409
2016,17031020701,85
2016,17031040600,3977
2018,17031030706,1975
2017,17031030800,5139
2018,17031242300,3650
2018,17031031100,2545
2016,17031843200,629
2016,17031160400,948
2016,17031241100,4828
2016,17031830800,4657
2017,17031071000,14738
2018,17031071800,11296
2017,17031242900,1415
2016,17031210700,2193
2017,17031243200,4763
2018,17031062600,1292
2018,17031839200,1565
2016,17031020302,118
2018,17031836700,75
2018,17031340600,864
2016,17031031501,1979
2017,17031220500,2128
2016,17031810400,550
2018,17031310300,156
2016,17031160700,1423
2017,17031243000,2449
2017,17031060300,2745
2017,17031832900,1424
2017,17031839800,17
2017,17031010201,174
2017,17031843100,564
2018,17031050800,245
2018,17031030604,631
2018,17031242900,686
2019,17031320100,889919
2019,17031081800,411345
2019,17031839100,1364674
2019,17031281900,529264
2019,17031980000,355231
2019,17031842200,62019
2019,17031832600,20941
2019,17031081201,323328
2019,17031081900,9412
2019,17031242100,8014
2019,17031831000,1958
2019,17031080201,35791
2019,17031081202,110963
2019,17031243300,3529
2019,17031243200,1629
2019,17031031700,1655
2019,17031063303,1883
2019,17031830800,289
2017,17031030103,273
2017,17031060200,947
2017,17031241300,1327
2017,17031291600,33
2017,17031283200,439
2017,17031220702,110
2017,17031030104,72
2017,17031040900,1023
2017,17031292200,3
2017,17031010701,66
2017,17031210602,209
2017,17031110300,42
2017,17031841200,47
2017,17031840200,79
2017,17031222600,49
2017,17031161100,107
2017,17031230200,15
2017,17031160100,30
2016,17031100600,62
2016,17031100400,11
2016,17031030702,378
2016,17031151200,14
2016,17031150401,57
2016,17031100100,75
2016,17031120300,128
2016,17031030104,239
2016,17031100300,57
2016,17031291600,121
2018,17031842500,2
2018,17031220300,330
2018,17031283100,489
2018,17031010201,78
2018,17031051200,471
2018,17031691200,2
2018,17031838000,474
2018,17031020901,67
2018,17031310800,41
2017,17031151200,1
2015,17031240800,159
2015,17031220701,209
2015,17031590700,12
2015,17031310700,99
2015,17031840300,401
2015,17031140602,175
2015,17031020100,45
2015,17031843100,1218
2015,17031834300,3
2016,17031280800,6
2016,17031570400,1
2016,17031170100,7
2016,17031460100,4
2016,17031140500,59
2016,17031430500,3
2016,17031250800,1
2016,17031440201,5
2016,17031040300,191
2016,17031381500,2
2016,17031831400,10
2016,17031839900,239
2016,17031160100,79
2016,17031730400,3
2016,17031835800,4
2016,17031430400,5
2016,17031836000,13
2016,17031250400,5
2016,17031560900,2
2016,17031020100,96
2016,17031660900,2
2016,17031220702,342
2016,17031839500,30
2016,17031700402,1
2017,17031831200,11
2017,17031252201,1
2017,17031250300,4
2017,17031430700,3
2017,17031100600,46
2017,17031171000,6
2017,17031100700,16
2017,17031340400,25
2017,17031841800,4
2017,17031720700,2
2018,17031836800,26
2018,17031420100,48
2018,17031120200,37
2018,17031120300,62
2018,17031430300,2
2018,17031210502,19
2018,17031130100,71
2018,17031030701,49
2018,17031040800,26
2018,17031340400,30
2018,17031160601,104
2018,17031839900,64
2018,17031161100,75
2018,17031110501,18
2018,17031842800,2
2018,17031020601,55
2022,17031081600,35786
2022,17031063000,904
2022,17031243500,4299
2022,17031071500,17691
2022,17031340500,334
2022,17031830700,659
2022,17031071400,6684
2022,17031070101,3512
2022,17031060900,2611
2022,17031040202,43
2022,17031243300,136
2022,17031061100,1825
2022,17031031100,246
2022,17031760801,841
2022,17031839200,170
2022,17031832200,220
2022,17031030800,253
2022,17031839700,22
2022,17031071000,227
2022,17031222200,36
2022,17031062600,83
2022,17031070700,177
2022,17031071600,99
2022,17031842000,53
2022,17031061500,25
2022,17031242300,105
2022,17031020400,6
2022,17031030200,158
2022,17031831800,25
2022,17031240300,132
2022,17031030300,18
2022,17031051200,16
2022,17031010202,22
2022,17031241100,8
2022,17031110502,7
2022,17031040600,39
2022,17031710800,6
2022,17031351400,21
2022,17031560700,2
2022,17031839500,19
2022,17031140800,41
2022,17031020702,17
2022,17031430400,16
2022,17031030601,50
2022,17031050500,99
2022,17031842600,16
2022,17031832400,41
2022,17031839900,12
2022,17031430500,6
2022,17031831700,7
2022,17031251800,1
2022,17031140702,2
2022,17031210602,6
2022,17031430102,13
2022,17031210601,3
2022,17031672000,2
2022,17031431301,3
2022,17031050600,52
2022,17031430800,2
2022,17031020802,13
2022,17031560400,1
2015,17031600700,42
2015,17031839600,10
2019,17031832100,1259
2019,17031210100,303
2019,17031063000,7644
2019,17031390700,1300
2019,17031839700,80
2021,17031221100,7
2019,17031243400,5290
2019,17031071700,2165
2019,17031210400,14
2019,17031831100,954
2021,17031080100,10853
2019,17031837800,712
2019,17031221100,153
2019,17031832900,629
2021,17031833100,5565
2019,17031520100,16
2021,17031836400,99
2019,17031840300,280
2019,17031050700,125
2019,17031030200,705
2021,17031691400,3
2019,17031440202,7
2019,17031243000,654
2021,17031031100,62
2019,17031730700,1
2019,17031040202,138
2019,17031160400,121
2019,17031842000,138
2019,17031838800,3
2019,17031100300,9
2021,17031063302,594
2020,17031140601,2
2020,17031081600,30193
2020,17031841900,14463
2019,17031837100,70
2019,17031837400,31
2019,17031530503,1
2020,17031241400,2393
2019,17031420500,3
2019,17031051100,136
2020,17031320600,19166
2020,17031836400,26
2019,17031230200,2
2019,17031420300,7
2020,17031063200,2195
2019,17031020802,67
2020,17031190300,1
2020,17031381200,5
2020,17031030703,69
2021,17031251400,2
2020,17031380200,17
2020,17031838000,70
2020,17031381400,4
2020,17031837100,8
2020,17031040300,27
2020,17031222700,1
2020,17031600700,4
2020,17031030300,15
2020,17031030800,204
2020,17031440300,7
2020,17031350100,25
2020,17031835900,22
2020,17031831600,1
2021,17031030703,50
2021,17031411000,1036
2021,17031836600,2
2021,17031830600,10
2021,17031030900,19
2021,17031410700,22
2021,17031834200,47
2021,17031140602,2
2020,17031010100,14
2020,17031839600,14
2021,17031061100,674
2021,17031431200,11
2020,17031020301,9
2020,17031010501,7
2020,17031160502,10
2021,17031440300,17
2021,17031843900,53
2021,17031834400,7
2021,17031841100,392
2021,17031070700,43
2021,17031010702,2
2021,17031010202,16
2021,17031420500,5
2021,17031390600,12
2021,17031030603,6
2021,17031030103,19
2021,17031490600,3
2021,17031430600,3
2021,17031160800,6
2021,17031832200,54
2021,17031410900,28
2021,17031062700,22
2021,17031843100,172
2021,17031062200,50
2019,17031570400,5
2019,17031836700,16
2021,17031061200,28
2019,17031010701,28
2019,17031500100,2
2019,17031640800,3
2019,17031690300,1
2021,17031832100,59
2021,17031220601,4
2021,17031832300,46
2019,17031840100,5
2019,17031380700,2
2019,17031834400,5
